bps,basis points
ABS,Asset-backed securities
CAE,Chief Audit Executive
CAO,Chief Administrative Officer
CCAR,Comprehensive Capital Analysis and Review
CDO,Collateralized debt obligation
CDS,Credit default swap
CECL,Current expected credit losses
CET1,Common equity tier 1
CFPB,Consumer Financial Protection Bureau
CFTC,Commodity Futures Trading Commission
CLO,Collateralized loan obligation
CLTV,Combined loan-to-value
CRO,Chief Risk Officer
CVA,Credit valuation adjustment
DIF,Deposit Insurance Fund
DVA,Debit valuation adjustment
Inc.,
LCR,Liquidity Coverage Ratio
LHFS,Loans held-for-sale
LIBOR,London Interbank Offered Rate
LTV,Loan-to-value
MBS,Mortgage-backed securities
MD&A,Management's Discussion and Analysis of Financial Condition and Results of Operations
MLGWM,Merrill Lynch Global Wealth Management
MLI,Merrill Lynch International
MLPCC,Merrill Lynch Professional Clearing Corp
MLPF&S,"Merrill Lynch, Pierce, Fenner & Smith Incorporated"
MRC,Management Risk Committee
MSA,Metropolitan Statistical Area
MSR,Mortgage servicing right
NOL,Net operating loss
chief risk officer.,CVA
FHA,
