December 31,2020,2019
Total common shareholders' equity,"$ 248,414","$ 241,409"
CECL transitional amount (1),"4,213",—
"Goodwill, net of related deferred tax liabilities","(68,565)","(68,570)"
Deferred tax assets arising from net operating loss and tax credit carryforwards,"(5,773)","(5,193)"
"Intangibles, other than mortgage servicing rights, net of related deferred tax liabilities","(1,617)","(1,328)"
Defined benefit pension plan net assets,"(1,164)","(1,003)"
"Cumulative unrealized net (gain) loss related to changes in fair value of financial liabilities attributable to own creditworthiness, net-of-tax","1,753","1,278"
Other,(601),167
Common equity tier 1 capital,"176,660","166,760"
"Qualifying preferred stock, net of issuance cost","23,437","22,329"
Other,1,(597)
Tier 1 capital,"200,096","188,492"
Tier 2 capital instruments,"22,213","22,538"
Qualifying allowance for credit losses (2),"15,649","10,229"
Other,(22),(29)
Total capital under the Standardized approach,"237,936","221,230"
Adjustment in qualifying allowance for credit losses under the Advanced approaches (2),"(10,251)","(8,132)"
Total capital under the Advanced approaches,"$ 227,685","$ 213,098"
