Level 1,Level 2,Level 3,Netting Adjustments,Assets/Liabilities at Fair Value
Time deposits placed and other short-term investments,"$1,649",$,$,"$1,649"
Federal funds sold and securities borrowed or purchased under agreements to resell,$,"108,856",$,"$108,856"
Trading account assets:,$,$,$,$
U.S. Treasury and agency securities,"45,219","3,051",$,"$48,270"
"Corporate securities, trading loans and other",$,"22,817","1,359","$24,176"
Equity securities,"36,372","31,372",227,"$67,971"
Non-U.S. sovereign debt,"5,753","20,884",354,"$26,991"
"Mortgage trading loans, MBS and ABS:",$,$,$,$
U.S. government-sponsored agency guaranteed (2),$,"21,566",75,"$21,641"
"Mortgage trading loans, ABS and other MBS",$,"8,440","1,365","$9,805"
Total trading account assets (3),"87,344","108,130","3,380","$198,854"
Derivative assets,"15,624","416,175","2,751","(387,371),$47,179"
AFS debt securities:,$,$,$,$
U.S. Treasury and agency securities,"115,266","1,114",$,"$116,380"
Mortgage-backed securities:,$,$,$,$
Agency,$,"61,849",$,"$61,849"
Agency-collateralized mortgage obligations,$,"5,260",$,"$5,260"
Non-agency residential,$,631,378,"$1,009"
Commercial,$,"16,491",$,"$16,491"
Non-U.S. securities,$,"13,999",18,"$14,017"
Other taxable securities,$,"2,640",71,"$2,711"
Tax-exempt securities,$,"16,598",176,"$16,774"
Total AFS debt securities,"115,266","118,582",643,"$234,491"
Other debt securities carried at fair value:,$,$,$,$
U.S. Treasury and agency securities,93,$,$,$93
Non-agency residential MBS,$,506,267,$773
Non-U.S. and other securities,"2,619","8,625",$,"$11,244"
Total other debt securities carried at fair value,"2,712","9,131",267,"$12,110"
Loans and leases,$,"5,964",717,"$6,681"
Loans held-for-sale,$,"1,349",236,"$1,585"
Other assets (4),"9,898","3,850","1,970","$15,718"
Total assets (5),"$232,493","$772,037","$9,964","(387,371),$627,123"
Liabilities,$,$,$,$
Interest-bearing deposits in U.S. offices,$,$,$,$481
Federal funds purchased and securities loaned or sold under agreements to repurchase,$,"135,391",$,"$135,391"
Trading account liabilities:,$,$,$,$
U.S. Treasury and agency securities,"9,425",139,$,"$9,564"
Equity securities,"38,189","4,235",$,"$42,424"
Non-U.S. sovereign debt,"5,853","8,043",$,"$13,896"
Corporate securities and other,$,"5,420",16,"$5,436"
Total trading account liabilities,"53,467","17,837",16,"$71,320"
Derivative liabilities,"14,907","412,881","6,219","(388,481),$45,526"
Short-term borrowings,$,"5,874",$,"$5,874"
Accrued expenses and other liabilities,"12,297","4,014",$,"$16,311"
Long-term debt,$,"31,036","1,164","$32,200"
Total liabilities (5),"$80,671","$607,514","$7,399","(388,481),$307,103"
