Amortized Cost,Gross Unrealized Gains,Gross Unrealized Losses,Fair Value
Available-for-sale debt securities,Mortgage-backed securities:,Agency,"59,518,2,370,(39),61,849"
,Agency-collateralized mortgage obligations,"5,112","161,(13),5,260"
,Commercial,"15,470","1,025,(4),16,491"
,Non-agency residential (1),899,"127,(17),1,009"
,Total mortgage-backed securities,"80,999","3,683,(73),84,609"
,U.S. Treasury and agency securities,"114,157","2,236,(13),116,380"
,Non-U.S. securities,"14,009","15,(7),14,017"
,"Other taxable securities, substantially all asset-backed securities","2,656","61,(6),2,711"
,Total taxable securities,"211,821","5,995,(99),217,717"
,Tax-exempt securities,"16,417","389,(32),16,774"
,Total available-for-sale debt securities (3),"228,238","6,384,(131),234,491"
,Other debt securities carried at fair value (2),"11,720","429,(39),12,110"
,Total debt securities carried at fair value,"239,958","6,813,(170),246,601"
,"Held-to-maturity debt securities, substantially all U.S. agency mortgage-backed securities (3,4)","438,279","10,095,(194),448,180"
,Total debt securities,"678,237","16,908,(364),694,781"
,Available-for-sale debt securities,Mortgage-backed securities:,"Agency,121,698,1,013,(183),122,528"
,Agency-collateralized mortgage obligations,"4,587","78,(24),4,641"
,Commercial,"14,797","249,(25),15,021"
,Non-agency residential (1),948,"138,(9),1,077"
,Total mortgage-backed securities,"142,030","1,478,(241),143,267"
,U.S. Treasury and agency securities,"67,700","1,023,(195),68,528"
,Non-U.S. securities,"11,987","6,(2),11,991"
,"Other taxable securities, substantially all asset-backed securities","3,874","67,—,3,941"
,Total taxable securities,"225,591","2,574,(438),227,727"
,Tax-exempt securities,"17,716","202,(6),17,912"
,Total available-for-sale debt securities,"243,307","2,776,(444),245,639"
,Other debt securities carried at fair value (2),"10,596","255,(23),10,828"
,Total debt securities carried at fair value,"253,903","3,031,(467),256,467"
,"Held-to-maturity debt securities, substantially all U.S. agency mortgage-backed securities (3,4)","215,730","4,433,(342),219,821"
,"Total debt securities (3,4)","469,633","7,464,(809),476,288"
