Financial Instrument,Fair Value,Valuation Technique,Significant Unobservable Inputs,Ranges of Inputs,Weighted Average (1)
Instruments backed by residential real estate assets,1543,"Discounted cash flow, Market comparables",Yield,(3)% to 25%,6%
"Trading account assets – Mortgage trading loans, ABS and other MBS",467,"Discounted cash flow, Market comparables",Prepayment speed,1% to 56% CPR,20% CPR
Loans and leases,431,"Discounted cash flow, Market comparables",Default rate,0% to 3% CDR,1% CDR
AFS debt securities – Non-agency residential,378,"Discounted cash flow, Market comparables",Price,$0 to $168,110
Other debt securities carried at fair value – Non-agency residential,267,"Discounted cash flow, Market comparables",Loss severity,0% to 47%,18%
Instruments backed by commercial real estate assets,407,Discounted cash flow,Yield,0% to 25%,4%
"Trading account assets – Corporate securities, trading loans and other",262,Discounted cash flow,Price,$0 to $100,52
"Trading account assets – Mortgage trading loans, ABS and other MBS",43,Discounted cash flow,Price,$0 to $100,52
"AFS debt securities, primarily other taxable securities",89,Discounted cash flow,Price,$0 to $100,52
Loans held-for-sale,13,Discounted cash flow,Price,$0 to $100,52
"Commercial loans, debt securities and other",3066,"Discounted cash flow, Market comparables",Yield,0% to 26%,9%
"Trading account assets – Corporate securities, trading loans and other",1097,"Discounted cash flow, Market comparables",Prepayment speed,10% to 20%,14%
Trading account assets – Non-U.S. sovereign debt,354,"Discounted cash flow, Market comparables",Default rate,3% to 4%,4%
"Trading account assets – Mortgage trading loans, ABS and other MBS",930,"Discounted cash flow, Market comparables",Loss severity,35% to 40%,38%
AFS debt securities – Tax-exempt securities,176,"Discounted cash flow, Market comparables",Price,$0 to $142,66
Loans and leases,286,"Discounted cash flow, Market comparables",Long-dated equity volatilities,77%,n/a
Loans held-for-sale,223,"Discounted cash flow, Market comparables",Long-dated equity volatilities,77%,n/a
"Other assets, primarily auction rate securities",937,"Discounted cash flow, Market comparables",Price,$10 to $97,91
MSRs,1033,Discounted cash flow,"Weighted-average life, fixed rate (5)",0 to 13 years,4 years
,,"Weighted-average life, variable rate (5)",0 to 10 years,3 years,
,,"Option-adjusted spread, fixed rate",7% to 14%,9%,
,,"Option-adjusted spread, variable rate",9% to 15%,12%,
Structured liabilities,Long-term debt,-1164,"Discounted cash flow, Market comparables, Industry standard derivative pricing (3)",Yield,"0% to 11%,9%"
Equity correlation,,,,2% to 100%,64%
Long-dated equity volatilities,,,,7% to 64%,32%
Price,,,,"$0 to $124,86",
Natural gas forward price,,,,$1/MMBtu to $4/MMBtu,3 /MMBtu
Net derivative assets (liabilities),Credit derivatives,-112,"Discounted cash flow, Stochastic recovery correlation model",Yield,"5%,n/a"
Upfront points,,,,0 to 100 points,75 points
Prepayment speed,,,,15% to 100% CPR,22% CPR
Default rate,,,,2% CDR,n/a
Credit correlation,,,,21% to 64%,57%
Price,,,,"$0 to $122,69",
Equity derivatives,-1904,Industry standard derivative pricing (3),Equity correlation,2% to 100%,64%
Long-dated equity volatilities,,,,7% to 64%,32%
Commodity derivatives,-1426,"Discounted cash flow, Industry standard derivative pricing (3)",Natural gas forward price,$1/MMBtu to $4/MMBtu,3 /MMBtu
Correlation,,,,39% to 85%,73%
Volatilities,,,,23% to 70%,39%
Interest rate derivatives,-26,Industry standard derivative pricing (4),Correlation (IR/IR),15% to 96%,34%
Correlation (FX/IR),,,,0% to 46%,3%
Long-dated inflation rates,,,,(7)% to 84%,14%
Long-dated inflation volatilities,,,,0% to 1%,1%
Interest rate volatilities,,,,0% to 2%,1%
Total net derivative assets (liabilities),,,,,-3468
