Dollars in millions,Outstandings,Outstandings,Nonperforming,Nonperforming,Net Charge-offs,Net Charge-offs
,,December31,December31,,Net Charge-offs,Net Charge-offs
Core portfolio,,2020,,2019,,"2020, 2019, 2020, 2019"
Residential mortgage,"$ 215,273",2019,"1,390",883,(25),7
Home equity,"$ 30,328",2019,462,363,(6),51
Total core portfolio,,2019,"1,852","1,246",(31),58
Non-core portfolio,"$ 8,282",2019,,587,,(54)
Residential mortgage,"$ 4,982",2019,615,173,(5),(67)
Home equity,"$ 3,983",2019,,,,
Total non-core portfolio,,2019,802,760,(72),(463)
Consumer real estate portfolio,,,,,,
Residential mortgage,"$ 223,555",2019,"2,005","1,470",(30),(47)
Home equity Total consumer real estate portfolio,"$ 34,311",2019,649,536,(73),(358)
Total consumer real estate portfolio,,,"2,654","2,006",(103),(405)
Allowance for Loan and Lease Losses,,,,,,
December 31,,,,,,
Core portfolio,,,$ 374,229,136,22
Home equity,,,$ 599,120,135,(58)
Total core portfolio,,,$ 973,349,271,-36
Non-core portfolio,,,,,,
Residential mortgage,,,$ 85,96,75,-134
Home equity,,,-63,101,-21,-510
Total non-core portfolio,,,$ 22,197,54,-644
Consumer real estate portfolio,,,,,,
Residential mortgage,,,$ 459,325,211,-112
Home equity,,,$ 536,221,114,-568
Total consumer real estate portfolio,,,$ 995,546,325,-680
