,"December31,2020","December31,2020","December31,2020","December31,2020","December31,2020","December31,2020"
,Due in One,Due After One Year Through,Due After One Year Through,Due After,,
(Dollars in millions),"Year or Less 82,577",Five Years,$,"Five Years 46,642",$,Total
U.S.commercial,,$,"198,898",,,"328,117"
U.S.commercial real estate,"14,073",,"37,552",,"5,552","57,177"
Non-U.S.and other (3),"33,196",,"54,488",,"8,989","96,673"
Total selected loans,"129,846",$,"290,938 60%","61,183",$ 13 %,"481,967 100 %"
Percent of total,Percent of total,Percent of total,Percent of total,Percent of total,Percent of total,
Sensitivity of selected loans to changes in interest rates for loans due after one year:,,,,,,
Fixed interest rates,,$,"46,911",$,"32,280",
Floating or adjustable interest rates Total,,$,"244,027 290,938",$,"28,903 61,183",
