Dollars in millions,2021,2022,2023,2024,2025,Thereafter,Total
Bank of America Corporation,,,,,,,
Bank of America Corporation,Senior notes,"$ 8,888","$ 15,380","$ 23,872","$ 21,407","$ 15,723","$ 105,903"
Bank of America Corporation,Senior structured notes,469,"2,034",597,190,,"13,194"
Bank of America Corporation,Subordinated notes,371,393,-,"3,351","5,537","14,484"
Bank of America Corporation,Junior subordinated notes,,,,,,739
Bank of America Corporation,Total Bank of America Corporation,"9,728","17,807","24,469","24,948","21,809","134,320"
"Bank of America, N.A.",,,,,,,
"Bank of America, N.A.",Senior notes,"1,340",975,511,-,-,"8,2"
"Bank of America, N.A.",Subordinated notes,-,-,-,-,-,"1,883"
"Bank of America, N.A.",Advances from Federal Home Loan Banks,502,3,1,,18,75
"Bank of America, N.A.",Securitizations and other Bank VIEs (1),"4,056","1,241",977,-,-,"22,6"
"Bank of America, N.A.",Other,112,16,189,-,279,87
"Bank of America, N.A.","Total Bank of America, N.A.","6,010","2,235","1,678",-,297,"12,295"
Other debt,,,,,,,
Other debt,Structured Liabilities,"4,613","2,414","2,221",655,859,-
Other debt,Nonbank VIEs (1),1,,,,,-
Other debt,Other,,,,,,-
Other debt,Total other debt,"4,614","2,414","2,221",655,859,"6,795"
Total long-term debt,"$ 20,352","$ 22,456","$ 28,368","$ 25,603","$ 22,965","$ 143,190","$ 262,934"
