,Fair Value,Valuation Technique,Significant Unobservable,Ranges of,Weighted Average(1)
Financial Instrument Loans and Securities (2),,,Inputs,Inputs,
Instruments backedby residential real estate assets,"$1,407",,Yield,0% to 25%,6%
"Trading account assets - Mortgage trading loans,ABS and other MBS",332,,Prepayment speed,1% to 27% CPR,17%CPR
Loans and leases,281,Discounted cash,Default rate,0% to 3% CDR,1% CDR
Loans held-for-sale,,"flow,Market comparables",Loss severity,0% to 47%,14%
"AFS debtsecurities,primarily non-agency residential",491,,Price,$0 to $160,$94
Otherdebt securities carried at fair value - Non-agency residential,299,,,,
Instruments backed by commercial real estate assets,$,,Yield,0% to 30%,14%
"Trading account assets - Corporate securities, trading loans and other",303 201,,Price,$0 to $100,$55
"Trading account assets- Mortgage trading loans,ABS and other MBS",85,Discounted cash flow,,,
Loans held-for-sale,17,,,,
"Commercial loans, debt securities and other","$3,798",,Yield,1% to 20%,6%
"Trading account assets -Corporate securities,trading loans and other","1,306",,Prepayment speed,10% to 20%,13%
Trading account assets - Non-U.S.sovereign debt,482,Discounted cash,Default rate,3% to 4%,4%
"Trading account assets- Mortgage trading loans,ABS and other MBS","1,136","flow,Market comparables",Loss severity,35% to 40%,38%
AFS debt securities -Tax-exempt securities,108,,Price,$0 to $142,$72
Loans and leases Loans held-for-sale,412,,Long-dated equity volatilities,35%,n/a
"Other assets,primarily auction rate scurities",354 $ 815,Discounted cash,Price,$10 to $100,$96
,,"flow,Market comparables",,,
MSRs,"$1,545",,"Weighted-averagelife,fixedrate(5) Weighted-averagelifevrblate (5)",0 to 14 years,5 years
,,Discounted cash flow,"Option-adjusted spread,fixed rate",0 to 9 years 7% to 14%,3years 9%
,,,"Option-adjustedspread,vriblete",9% to 15%,11%
Structured liabilities,,,,,
Long-term debt,"$(1,149)",,Yield,2% to 6%,5%
,,Discounted cash,Equity correlation,9% to 100%,63%
,,flow，Market,,,
,,"comparables, Industry standard",Long-dated equityvolatities,4% to 101%,32%
,,derivative pricing(s),Price,$0 to $116,$74
Netderivativeassets (liabilities),,,Natural gas forward price,$1/MMBtu to $5/MMBtu,$3/MMBtu
Credit derivatives,,,,,
,13,,Yield,5%,n/a
,,Discounted cash,Upfront points,0 to 100 points,63 points
,,"flow, Stochastic",Prepayment speed,15% to 100% CPR,22% CPR
,,recovery correlation,Default rate,1% to 4% CDR,2% CDR
,,model,Loss severity,35%,n/a
,,,Price,$0 to $104,$73
Equity derivatives,$ (1.081),Industry standard,Equity correlation,9% to 100%,63%
,,derivative pricing(s),Long-dated equity volatilities,4% to 101%,32%
Commodity derivatives,$ (1.357),Discounted cash,Natural gas forward price,$1/MMBtu to $5/MMBtu,$3/MMBtu
,,"flow, Industry standard derivative",Correlation,30% to 69%,68%
,,pricing(3)a,Volatilities,14% to 54%,27%
Interest rate derivatives,$ (113),,Correlation (IR/IR),15% to 94%,52%
,,Industry standard,Correlation (FX/IR),0% to 46%,2%
,,derivative pricingd4),,,
,,,Long-dated inflation rates,(23)% to 56%,16%
,,,Long-dated inflation volatilities,0% to 1%,1%
Total net derivative assets (liabilities),,,,,
,$ (2.538),,,,
