Fair Value Carrying Amount,Contractual Principal Outstanding,Carrying Amount Less Unpaid Principal,"December 31,2020 Fair Value","December 31,2019","December 31,2019"
"$108,856","$108,811",45,"$50,364","$50,318",46
"7,967","17,372",-9,"6,989","14,703","-7,714"
"22,790",n/a,n/a,"19,574",n/a,n/a
"6,681","6,778",-97,"8,335","8,372",-37
"1,585","2,521",-936,"3,709","4,879","-1,170"
200,n/a,n/a,4,n/a,n/a
481,448,33,508,496,12
"135,391","135,390",1,"16,008","16,029",-21
"5,874","5,178",696,"3,941","3,930",11
99,n/a,n/a,90,n/a,n/a
"32,200","33,470",-1,"34,975","35,730",-755
