Dollars in millions,2020,2019
"Nonperforming loans and leases, January 1","$ 1,499","1,102"
Additions,,"3,518"
Reductions:,,
Paydowns,"-1,002",
Sales,,(350)
Returns to performing status (3),,-172
Charge-offs,,"-1,208"
Transfers to foreclosed properties,,-2
Transfers to loans held-for-sale,,-56
Total net additions to nonperforming loans and leases,728,397
"Total nonperforming loans and leases, December 31","2,227",
"Foreclosed properties, December 31",,41
"Nonperforming commercial loans, leases and foreclosed properties, December 31",,"2,268"
"Nonperforming commercial loans, leases and foreclosed properties as a percentage of outstanding commercial loans and leases (4)",0.45 %,0.29 %
"Nonperforming commercial loans, leases and foreclosed properties as a percentage of outstanding commercial loans, leases and foreclosed properties (4)",,0.46
