ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,,,,,
ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,,,,,
ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,ProsperityTHEME METRIC RESPONSE,External Hires,External Hires,External Hires,External Hires,External Hires
,,,,,,,,,,External Hires,External Hires,External Hires,External Hires,External Hires
,,,,,Diversity Region,Diversity Region,Diversity Region,Diversity Region,Diversity Region,,,,,
,,,,,Diversity Region,Diversity Region,Diversity Region,Diversity Region,Diversity Region,,,,,
,,numberar,,Female 51% U.S.,Female 51% U.S.,Female 51% U.S.,Female 51% U.S.,Female 51% U.S.,,,,,,
,,numberar,,Female 51% U.S.,Female 51% U.S.,Female 51% U.S.,Female 51% U.S.,Female 51% U.S.,84%,,,,,
,,numberar,,POC 59% APAC,POC 59% APAC,POC 59% APAC,POC 59% APAC,POC 59% APAC,,,,,,
,,,,,,,,,12%,,,,,
,,,,Black/,,EMEA,EMEA,EMEA,3%,,,,,
,,,,African American,17%,LATAM,LATAM,LATAM,0%,,,,,
,,,,Hispanic/Latino,27%,Canada,Canada,Canada,0%,,,,,
,,,,Turnover,Turnover,Turnover,Turnover,Turnover,,,,,,
,,,,Turnover,Turnover,Turnover,Turnover,Turnover,,,,,,
,,,,Diversity Region,Diversity Region,Diversity Region,Diversity Region,Diversity Region,,,,,,
,,,,Diversity Region,Diversity Region,Diversity Region,Diversity Region,Diversity Region,,,,,,
,,,,Total,7% U.S.,7% U.S.,7% U.S.,7% U.S.,7%,,,,,
,,,,Female,6%,APAC,APAC,APAC,5%,,,,,
,,,,POC,7%,EMEA,EMEA,EMEA,5%,,,,,
,,,,Black/,,LATAM,LATAM,LATAM,4%,,,,,
,,,,African American,7% Canada,7% Canada,7% Canada,7% Canada,4%,,,,,
,,,,Hispanic/Latino 7%,Hispanic/Latino 7%,Hispanic/Latino 7%,Hispanic/Latino 7%,Hispanic/Latino 7%,,,,,,
,,,,Hispanic/Latino 7%,Hispanic/Latino 7%,Hispanic/Latino 7%,Hispanic/Latino 7%,Hispanic/Latino 7%,,,,,,
