,Market making and similar activities,Market making and similar activities,Net Interest Income,Other (1),,
(Dollars in millions),,,,,,
Interest rate risk,"$ 2,211",$,"2,400",2020 $,231 $,"4,842"
Foreign exchange risk,,"1,482",(20),,3,"1,465"
Equity risk,,"3,656",(77),,"1,801","5,380"
Credit risk,,812,"1,638",,328,"2,778"
Other risk,,308,4,,44,356
Total salesand trading revenue,$,"8,469","$ 3,945",$,"2,407","$ 14,821"
Interest rate risk $,"1,000 $",,"2019 1,817",,$,
Foreign exchange risk,"1,288",,62,$,113,"2,930"
Equity risk,,,,,57,"1,407"
,,"3,563",(634),,"1,569","4,498"
Credit risk,,"1,091","1,807",,519,"3,417"
Other risk Total sales and trading,,120,70,,53,243
revenue,"$ 7,062",$,"3,122",$,"2,311","$ 12,495"
,,,,2018,,
Interest rate risk,$,810 $,"1,651",$,245,"$ 2,706"
Foreign exchange risk,,"1,504",31,,22,"1,557"
Equity risk,,"3,870",(657),,"1,643","4,856"
Credit risk,,"1,034","1,886",,600,"3,520"
Other risk,,40,197,,49,286
Total salesand trading,,,,,,
revenue,$,"7,258 $","3,108",$,"2,559","$ 12,925"
