Home Equity (1),Credit Card (2),Resecuritization Trusts,Municipal Bond Trusts
Maximum loss exposure,206,412,"8,543,7,526,3,507,3,701"
On-balance sheet assets,Securities (3):,Trading account assets,"Debt securities carried at fair value,Held-to-maturity securities,Total retained positions,Total assets of VIEs"
Trading account assets,-,-,"-,-,-,948,2,188,-,-"
Debt securities carried at fair value,2,11,"-,-,-,2,727,1,126,-,-"
Held-to-maturity securities,-,-,"-,-,-,4,868,4,212,-,-"
Total retained positions,2,11,"-,-,-,8,543,7,526,-,-"
Total assets of VIEs,609,"1,023","-,-,17,250,21,234,4,042,4,395"
Maximum loss exposure,58,64,"14,606,17,915,217,54,1,030,2,656"
On-balance sheet assets,Trading account assets,Loans and leases,"Allowance for loan and lease losses,All other assets,Total assets"
Trading account assets,-,-,"-,-,-,-,-,-,-"
Loans and leases,218,122,"21,310,26,985,1,289,20,895,26,304,217,73"
Allowance for loan and lease losses,14,(2),"(1,704),(800),119,14,(800),-,-"
All other assets,4,3,"1,289,119,-,4,119,40,40"
Total assets,236,123,"20,895,26,304,217,73,1,030,2,656"
On-balance sheet liabilities,Short-term borrowings,Long-term debt,"All other liabilities,Total liabilities"
Short-term borrowings,-,-,"-,-,-,-,-,-,-"
Long-term debt,178,64,"6,273,8,372,16,6,289,8,389,19,432"
All other liabilities,-,-,"-,-,-,-,-,-,-"
Total liabilities,178,64,"6,289,8,389,19,432,2,175"
