,Agency,Agency,Agency,Prime,Prime,Prime,Non-agency Subprime,Non-agency Subprime,Non-agency Subprime,Alt-A,Alt-A,Alt-A,Commercial Mortgage,Commercial Mortgage,Commercial Mortgage,,,,
,,,,,,,December 31,December 31,December 31,,,,,,,,,,
(Dollars in millions),,2020,2019,,2020,,2019,2020,,2019,,2020,2019,,,,2020,,2019
Unconsolidated VIEs,$,"13,477$",,,,,,,,,,,,,,,,,
Maximum loss exposure (1) On-balance sheet assets,,,,"12,554",,250$,340,,"1,031 $","1,622",$,46$,,98$,"1,169 $",,"1,036",,
Senior securities:,,,,,,,,,,,,,,,,,,,
Trading account assets,$,152$,,627,,2$,,5$,8$,,54 $,,12$,24$,,60$,65,,
Debt securities carried at fair value,,"7,588",,"6,392",,103,193,,676,,"1,178",,33,72,,1,1,,
Held-to-maturity securities,,"5,737",,"5,535",,1,1,,1,,1,,1,1,,925,809,,
All other assets,,,,,,6,2,,26,,49,,1,2,,50,38,,
Total retained positions,$,"13,477$",,"12,554",,111 $,200$,,710 $,,"1,281 $",,46$,98$,,"1,035 $",912,,
Principal balance outstanding(2),,"133,497$",,"160,226",$,"6,081 $","7,268",$,"6,691 $",,"8,594 $","16,554 $",,"19,878",$,"59,268 $","60,129",,
Consolidated VIEs,,,,,,,,,,,,,,,,,,,
Maximum loss exposure (1),$,"1,328 $",,"10,857",,66$,5,$,53$,,44 $,,$,,$,$,,,
On-balance sheet assets,,,,,,,,,,,,,,,,,,,
Trading account assets,$,"1,328$",,780,,350$,116,$,260$,,149 $,,$,,$,$,,,
"Loans and leases, net",,,,"9,917",,一,,,1,,,,,,,,,,
All other assets,,,,161,,,,,,,,,,,,,,,
Total assets,$,"1,328$",,"10,858",,350$,116,$,260$,,149$,,$,,$,$,,,
Total liabilities,$,一,$,4$,,284$,111$,,207$,,105$,,$,,$,$,,,
