Weighted-average Rate,Interest Rates,Maturity Dates,December 31
3.05 %,0.25 - 8.05 %,2021 - 2051,"$174,385,$140,265"
0.74,0.09 - 4.96,2021 - 2044,"16,788,19,552"
4.89,2.94 - 8.57,2021 - 2045,"23,337,21,632"
1.15,0.88 - 1.41,2022 - 2026,"799,782"
6.71,6.45 - 8.05,2027 - 2066,"738,736"
1.03,1.03,2056,"1,1"
233,081,199,909
3.34,3.34,2023,"511,508"
0.33,0.28 - 0.49,2021 - 2041,"2,323,6,519"
6.00,6.00,2036,"1,883,1,744"
0.99,0.01 - 7.72,2021 - 2034,"599,112"
0.33,0.28 - 0.49,2021 - 2041,"2,323,6,519"
6.00,6.00,2036,"1,883,1,744"
0.99,0.01 - 7.72,2021 - 2034,"599,112"
6,296,8,373
683,402,,
12,295,20,158
16,792,20,442
757,347,,
9,0,,
17,558,20,789
262,934,240,856
