Preferred Stock,Common Stock and Additional Paid-in Capital,Retained Earnings,Accumulated Other Comprehensive Income (Loss),Total Shareholders' Equity
"$ 22,323","$ 10,287.3","$ 138,089","$ 113,816","$ 267,146"
Cumulative adjustment for adoption of hedge accounting standard,,,(32),"57,25"
Adoption of accounting standard related to certain tax effects stranded in accumulated other comprehensive income (loss),,"1,270","(1,270)",",—"
Net income,,"28,147",,"28,147,"
Net change in debt securities,,,"(3,953)","(3,953),"
Net change in debt valuation adjustments,,,749,"749,"
Net change in derivatives,,,(53),"(53),"
Employee benefit plan adjustments,,,(405),"(405),"
Net change in foreign currency translation adjustments,,,(254),"(254),"
Dividends declared:,Common,"(5,424)",,"(5,424),"
Preferred,"(1,451)",,"(1,451)",
Issuance of preferred stock,"4,515",,"4,515",
Redemption of preferred stock,"(4,512)",,"(4,512)",
"Common stock issued under employee plans, net, and other",58.2,901,(12),"889,"
Common stock repurchased,(676.2),"(20,094)",,"(20,094),"
"$ 22,326","9,669.3","$ 118,896","$ 136,314","$ 265,325"
Cumulative adjustment for adoption of lease accounting standard,,,165,"165,"
Net income,,"27,430",,"27,430,"
Net change in debt securities,,"5,875","5,875",
Net change in debt valuation adjustments,,(963),(963),
Net change in derivatives,,616,616,
Employee benefit plan adjustments,,136,136,
Net change in foreign currency translation adjustments,,(86),(86),
Dividends declared:,Common,"(6,146)",,"(6,146),"
Preferred,"(1,432)",,"(1,432)",
Issuance of preferred stock,"3,643",,"3,643",
Redemption of preferred stock,"(2,568)",,"(2,568)",
"Common stock issued under employee plans, net, and other",123.3,971,(12),"959,"
Common stock repurchased,(956.5),"(28,144)",,"(28,144),"
"$ 23,401","8,836.1","$ 91,723","$ 156,319","$ 264,810"
Cumulative adjustment for adoption of credit loss accounting standard,,,"(2,406)","(2,406),"
Net income,,"17,894",,"17,894,"
Net change in debt securities,,"4,799","4,799",
Net change in debt valuation adjustments,,(498),(498),
Net change in derivatives,,826,826,
Employee benefit plan adjustments,,(98),(98),
Net change in foreign currency translation adjustments,,(52),(52),
Dividends declared:,Common,"(6,289)",,"(6,289),"
Preferred,"(1,421)",,"(1,421)",
Issuance of preferred stock,"2,181",,"2,181",
Redemption of preferred stock,"(1,072)",,"(1,072)",
"Common stock issued under employee plans, net, and other",41.7,"1,284",(9),"1,275,"
Common stock repurchased,(227.0),"(7,025)",,"(7,025),"
"$ 24,510","8,650.8","$ 85,982","$ 164,088","$ 272,924"
