Expires in One Year or Less,Expires After One Year Through Three Years,Expires After Three Years Through Five Years,Expires After Five Years,Total
Loan commitments (1),"$109,406","$171,887","$139,508","$16,091"
Home equity lines of credit,$710,"$2,992","$8,738","$29,892"
Standby letters of credit and financial guarantees (2),"$19,962","$12,038","$2,397","$1,257"
Letters of credit (3),$886,$197,$25,$27
Legally binding commitments,"$130,964","$187,114","$150,668","$47,267"
Credit card lines (4),"$384,955",,,
Total credit extension commitments,"$515,919","$187,114","$150,668","$47,267"
Loan commitments (1),"$97,454","$148,000","$173,699","$24,487"
Home equity lines of credit,"$1,137","$1,948","$6,351","$34,134"
Standby letters of credit and financial guarantees (2),"$21,311","$11,512","$3,712",$408
Letters of credit (3),"$1,156",$254,$65,$25
Legally binding commitments,"$121,058","$161,714","$183,827","$59,054"
Credit card lines (4),"$376,067",,,
Total credit extension commitments,"$497,125","$161,714","$183,827","$59,054"
