30-59 Days,,,90 Days or,Total Past,Total Current or Less Than,Loans Accounted for Under the,
Past Due (1),,60-89 Days Past Due (1),More Past Due (1),Due 30 Days orMore,30Days Past Due (1),Fair Value Option,Total Outstandings
(Dollars in millions),,,,"December31,2020",,,
Consumer real estate,,,,,,,
Core portfolio,$,,$,,"$213,155",,
Residential mortgage,"$1,157",175,786,"$ 2,118",,,"$215,273"
Home equity,126,61,269,456,"29,872",,"30,328"
Non-core portfolio,273,122,913,,"6,974",,
Residential mortgage,,,76,"1,308","3,862",,"8,282 3,983"
Home equity Credit card and other consumer,28,17,,121,,,
Credit card,445,341,903,"1,689","77,019",,"78,708"
Direct/Indirect consumer(2),209,67,37,313,"91,050",,"91,363"
Other consumer Total consumer,"一 2,238",一 783,"一 2,984","6,005","124 422,056",,124
Consumer loans accounted for under the fair value,,,,,,,"428,061"
option (3),,,,,,735,735
Total consumer loans and leases,"2,238",783,"2,984","6,005","422,056",$ 735,"428,796"
Commercial,,,,,,,
U.S.commercial,561,214,512,"1,287","287,441",,"288,728"
Non-U.S.commercial,61,44,11,116,"90,344",,"90,460"
Commercial real estate (4),128,113,226,467,"59,897",,"60,364"
Commercial lease financing,86,20,57,163,"16,935",,"17,098"
U.S.smallbusiness commercial (5),84,56,123,263,"36,206",,"36,469"
Total commercial,920,447,929,"2,296","490,823",,"493,119"
Commercial loans accounted for under the fair value option (3),,,,,,"5,946","5,946"
Total commercial loansand leases,920,447,929,"2,296","490,823","5,946","499,065"
Total loans and leases (6),"3,158","1,230","3,913","$ 8,301","$912,879","6,681","$ 927,861"
Percentage of outstandings,0.34 %,0.13 %,0.42 %,0.89 %,98.39%,0.72 %,100.00%
