,"Standardized Approach (1,2)","Standardized Approach (1,2)",Advanced Approaches (1),Advanced Approaches (1),Regulatory Minimum 3
"(Dollars in millions,except as noted)",,,,,"December31,2020"
Risk-based capital metrics:,,,,,
Common equity tier 1 capital,$,"164,593",$,"164,593",
Tier 1 capital,,"164,593",,"164,593",
Total capital (4),,"181,370",,"170,922",
Risk-weighted assets (in billions),,"1,221",,"1,014",
Common equity tier 1 capital ratio,,13.5%,,16.2%,7.0%
Tier 1 capital ratio,,13.5,,16.2,8.5
Total capital ratio,,14.9,,16.9,10.5
Leverage-based metrics:,,,,,
Adjustedquarterly averageassets (inbillons)(5),$,"2,143",$,"2,143",
Tier1 leverage ratio,,7.7 %,,7.7 %,5.0
,,,$,"2,525",
Supplementary leverage exposure (in billions) Supplementary leverage ratio,,,,6.5%,6.0
Risk-based capital metrics:,,,,"December 31,2019",
Common equity tier1 capital,,,,,
,$,"154,626 154,626",$,"154,626",
Tier 1 capital,,,,"154,626",
Total capital (4),,"166,567",,"158,665",
Risk-weighted assets (in billions),,"1,241",,991,
Common equity tier1 capital ratio,,12.5%,,15.6 %,7.0%
Tier 1 capital ratio,,12.5,,15.6,8.5
Total capital ratio,,13.4,,16.0,10.5
Leverage-based metrics:,,,,,
Adjusted quarterly average assets (in billions)(5),$,"1,780",$,"1,780",
Tier1 leverage ratio,,8.7%,,8.7%,5.0
,,,$,"2,177",
Supplementary leverage exposure (in billions),,,,7.1 %,6.0
Supplementary leverageratio,,,,,
