,,,Inputs Significant,Inputs Significant,Inputs Significant
Financial Instrument,Fair Value,Valuation Technique,Unobservable Inputs,Ranges of,Weighted Average(1)
(Dollars in millions),,,2020,Inputs,
Loans held-for-sale,,$792 Discounted cash flow Price,,$8 to $99,$95
Loans and leases (2),,301 Market comparables,OREO discount,13% to 59%,24%
Other assets (3),,,Costs to sell,8% to 26%,9%
Other assets (3),,576Discounted cash flow,Revenue attrition,2% to 19%,7%
Other assets (3),,,Discount rate,11% to 14%,12%
,,,2019,,
Loans held-for-sale Loans and leases (2),,$102 Discounted cash flow,Price,$85 to $97,$88
Loans held-for-sale Loans and leases (2),,257Market comparables,OREO discount,13% to 59%,24%
Other assets (4),,,Costs to sell,8% to 26%,9%
Other assets (4),,640Discounted cash flow,Customer attrition,0% to 19%,5%
,,,Cost to service,11% to 19%,15%
