"December 31,2020",2019,2018,2017,2016
(Dollars in millions),(Dollars in millions),(Dollars in millions),(Dollars in millions),(Dollars in millions)
Consumer,"2,005","1,470","1,893",
Residential mortgage,,,,"2,476"
Home equity,649,536,"1,893","2,644"
Direct/Indirect consumer,71,47,56,46
Other consumer,,,,
Total consumer (2),"2,725","2,053","3,842","5,166"
U.S. commercial,"1,243","1,094",,794
Non-U.S. commercial,418,43,80,299
Commercial real estate,404,280,156,112
Commercial lease financing,87,32,18,24
Total nonperforming loans and leases,"4,952","3,552","4,944","6,470"
"Foreclosed properties Total nonperforming loans, leasesand foreclosed properties","164 5,116","285 3,837","300 5,244","288 6,758"
