Key Indicators and Metrics,,,2020,2019
"(Dollars in millions, except as noted)",,,2020,2019
Revenue by Business,,,,
Merrill Lynch Global Wealth Management,"$ 15,292",,"$ 16,112",
Bank of America Private Bank,"3,292",,"3,426",
"Total revenue, net of interest expense","$ 18,584",,"$ 19,538",
"Client Balances by Business, at year end",,,,
Merrill Lynch Global Wealth Management,"$ 2,808,340",,"$ 2,558,102",
Bank of America Private Bank,"541,464",,"489,690",
Total client balances,"$ 3,349,804",,"$ 3,047,792",
"Client Balances by Type, at year end",,,,
Assets under management,"$ 1,408,465",,"$ 1,275,555",
Brokerage and other assets,"1,479,614",,"1,372,733",
Deposits,"322,157",,"263,103",
Loans and leases (1),"191,124",,"179,296",
Less: Managed deposits in assets under management,"(51,556)",,"(42,895)",
Total client balances,"$ 3,349,804",,"$ 3,047,792",
Assets Under Management Rollforward,,,,
"Assets under management, beginning of year","1,275,555",,"1,072,234",
Net client flows,"19,596",,"24,865",
"Market valuation/other Total assets under management, end of year","$ 113,314 $ 1,408,465",,"$ 178,456 $ 1,275,555",
"Associates, at year end",,,,
"Number of financial advisors Total wealth advisors, including financial advisors","17,331",,"17,458",
"Total primary sales professionals, including financial advisors and wealth advisors","19,373 21,213",,"19,440 20,586",
Merrill Lynch Global Wealth Management Metric Financial advisor productivity (2) (in thousands),"$ 1,126",,"$ 1,082",
"Bank of America Private Bank Metric, at year end",,,,
Primary sales professionals,"1,759",,"1,766",
