"Balance January 1,Actual Return on Plan Assets Still Held at the Reporting Date",2020,Purchases,Sales and Settlements,Balance December 31
Dollars in millions,"Balance January 1,Actual Return on Plan Assets Still Held at the Reporting Date",2020,Purchases,"Sales and Settlements,Balance December 31"
Fixed income,U.S. government and agency securities,$8,,"$(1),$7"
Real estate,Real estate commingled/mutual funds,927,$(4),"20,943"
Limited partnerships,90,2,$(9),"83,"
Other investments,636,6,49,"691,"
Total,,1661,4,"59,1724,"
Fixed income,U.S. government and agency securities,$9,,"$(1),$8"
Real estate,Private real estate,5,,"$(5),-"
Real estate commingled/mutual funds,885,33,9,"927,"
Limited partnerships,82,2,8,"90,"
Other investments,588,6,42,"636,"
Total,,1569,39,"53,1661,"
Fixed income,U.S. government and agency securities,$9,,"$,9"
Real estate,Private real estate,93,$(7),"$(81),5"
Real estate commingled/mutual funds,831,52,2,"885,"
Limited partnerships,85,$(12),9,"82,"
Other investments,74,,514,"588,"
Total,,1092,33,"444,1569,"
