Level 1,Level 2,Level 3,Netting Adjustments (1),Assets/Liabilities at Fair Value
,,,,"December 31,2019"
,,,,Fair ValueMeasurements
,,,,Fair ValueMeasurements
,,,,Fair ValueMeasurements
,,,,Fair ValueMeasurements
(Dollars in millions) Assets,"1,000",,,",1,000"
Time deposits placed and other short-term investments Federal funds sold and securities borrowed or purchased under agreements to resell,1,"50,364",,",50,364"
Trading account assets:,"49,517","4,157",,",53,674"
"U.S.Treasury and agency securities Corporate securities,trading loans and other agreements to resell",1,"25,226","1 1,507",",26,733"
Equity securities,"53,597","32,619",239,",86,455"
Non-U.S.sovereign debt,"3,965","23,854",482,",28,301"
"Mortgage trading loans,MBS and ABS:",,,,
U.S.govermment-sponsoredagency guaranteed(2),,"24,324",,",24,324"
"Mortgage trading loans,ABSand other MBS",,"8,786","1,553",",10,339"
Total trading account assets(3),"107,079","118,966","3,781",
Derivative assets,"14,079","328,442","2,226","(304,262),229,826"
AFS debt securities:,,,,
U.S.Treasury and agency securities,"67,332","1,196",,",68,528"
Mortgage-backed securities:,,,,
Agency,,"122,528",,",122,528"
Agency-collateralized mortgage obligations,,"4,641",,",4,641"
Non-agency residential,,"653,424",,",1,077"
Commercial,,"15,021",1,",15,021"
Non-U.S.securities,,"11,989",2,",11,991"
Other taxable securities,,"3,876",65,",3,941"
Tax-exempt securities,,"17,804",108,",17,912"
Total AFS debt securities,"67,332","177,708",599,",245,639"
Other debt securities carried at fair value:,,,,
U.S.Treasury and agency securities,3,,,3
Agency MBS,1,"3,003",,",3,003"
Non-agency residential MBS,,"1,035",299,",1,334"
Non-U.S.and other securities,400,"6,088",,",6,488"
Total other debt securities carried at fair value,403,"10,126",299,",10,828"
Loans and leases,,"7,642",693,",8,335"
Loans held-for-sale,,"3,334",375,",3,709"
Other assets 4),"11,782","1,376","2,360",",15,518"
Total assets (5),"201,675","697,958","10,333","(304,262),605,704"
Liabilities Interest-bearing deposits in U.S.offices,,508,,",508"
Federal funds purchased and securities loaned or sold under agreements to repurchase Trading account liabilities:,,"16,008",,",16,008"
U.S.Treasury and agency securities,"13,140",282,,",13,422"
Equity securities,"38,148","4,144",2,",42,294"
Non-U.S.sovereign debt,"10,751","11,310",1,",22,061"
Corporate securities and other,,"5,478",15,",5,493"
Total trading account liabilities,"62,039","21,214",17,
Derivative liabilities,"11,904","320,479","4,764","(298,918),83,270 38,229"
Short-term borrowings,,"3,941",,",3,941"
Accrued expenses and other liabilities,"13,927","1,507",,",15,434"
Long-term debt,,"33,826","1,149",",34,975"
Total liabilities (5),,,,
,"87,870","397,483","5,930","(298,918),192,365"
