Amount,Percent,Amount,Percent,Amount,Percent
Dollars in millions,,,,,","
Expected U.S. federal income tax expense,3,989,21.0 %,6,"878,21.0 %,7,263,21.0 %,"
"State tax expense, net of federal benefit",728,3.8,1,283,"3.9,1,367,4.0,"
Affordable housing/energy/other credits,2,869,-15.1,2,"365,-7.2,1,888,-5.5,"
Tax law changes,699,-3.7,-,-,"-,-,"
"Tax-exempt income, including dividends",346,-1.8,433,-1.3,"413,-1.2,"
Share-based compensation,129,-0.7,225,-0.7,"257,-0.7,"
"Changes in prior-period UTBs, including interest",41,-0.2,613,-1.9,"144,0.4,"
Nondeductible expenses,324,1.7,290,0.9,"302,0.9,"
Rate differential on non-U.S. earnings,218,1.1,504,1.5,"98,0.3,"
Other,74,-0.3,5,0.1,"-179,-0.6,"
Total income tax expense (benefit),1,101,5.8 %,5,"324,16.3 %,6,437,18.6 %"
