(Dollars in millions),Total Assets at Year End (1),"Total Revenue, Net of Interest Expense (2)",Income Before Income Taxes,Net Income
U.S. (3),"2,490,247",75,"576,18,247,16,692",
U.S. (3),"2,122,734",81,"236,30,699,25,937",
U.S. (3),"80,777",,"31,904","26,407"
Asia,"102,440","3,491","765,570",
Asia,,"3,507","865,520","(596),264"
"Europe, Middle East and Africa","178,889",5,"310,921,672",
"Europe, Middle East and Africa",,1,"543,1,126","293,150"
Latin America and the Caribbean,"30,016","1,207","369,251",
Latin America and the Caribbean,,"272,94",,"1,051,788"
Total Non-U.S.,"311,345","10,008","2,055","1,493"
Total Non-U.S.,"10,243",,"2,680","1,740"
Total Consolidated,"2,434,079",91,"32,754","27,430"
Total Consolidated,"91,020",,,"28,147"
