By Geographic Region,December 31,2020,December 31,2019
California,"$ 14,028","$ 14,910",,
Northeast,"$ 11,628","$ 12,408",,
Southwest,"$ 8,551","$ 8,408",,
Southeast,"$ 6,588","$ 5,937",,
Florida,"$ 4,294","$ 3,984",,
Midwest,"$ 3,483","$ 3,203",,
Illinois,"$ 2,594","$ 3,349",,
Midsouth,"$ 2,370","$ 2,468",,
Northwest,"$ 1,634","$ 1,638",,
Non-U.S.,"$ 3,187","$ 3,724",,
Other (1),"$ 2,007","$ 2,660",,
Total outstanding commercial real estate loans,"$ 60,364","$ 62,689",,
By Property Type,Non-residential,Office,"$ 17,667","$ 17,902,"
,Industrial / Warehouse,"$ 8,330","$ 8,677",
,Shopping centers / Retail,"$ 7,931","$ 8,183",
,Hotels / Motels,"$ 7,226","$ 6,982",
,Multi-family rental,"$ 7,051","$ 7,250",
,Unsecured,"$ 2,336","$ 3,438",
,Multi-use,"$ 1,460","$ 1,788",
,Other,"$ 7,146","$ 6,958",
Total non-residential,"$ 59,147","$ 61,178",,
Residential,"$ 1,217","$ 1,511",,
Total outstanding commercial real estate loans,"$ 60,364","$ 62,689",,
