,,,,Total Corporation,Total Corporation,Total Corporation
(Dollars in millions),Global Banking 2020,Global Banking 2020,2019,2020,2020,2019
(Dollars in millions),,,,,,
Products Advisory,$,"1,458","$ 1,336","$ 1,621",$,"1,460"
Debt issuance,$,"1,555","1,348","3,443","3,107",
Equity issuance,$,997,453,"2,328","1,259",
Gross investment,,,,,,
banking fees,"4,010","4,010","3,137",,"7,392","5,826"
Self-led deals,,,(62),,(212),(184)
Total investment,(93),(93),,,,
banking fees,$,"3,917","3,075","$ 7,180",,"5,642"
