THEME,METRIC,RESPONSE,External Hires
Employment and wealth generation,,Absolute number and rate of employment:,
,1.,"Total number and rate of new employee hires during the reporting period, by age group, gender, other indicators of diversity and region.",Diversity
,,,Region
,2.,"Total number and rate of employee turnover during the reporting period, by age group, gender, other indicators of diversity and region.",
External Hires,,Female,51%
,,,84%
,,POC,59%
,,,12%
,,Black/,
,,African American,
,,Hispanic/Latino,
,,Total,7%
External Hires,,Female,6%
,,POC,7%
,,Black/,
,,African American,
,,Hispanic/Latino,
POC,7%,,
Black/,,LATAM,3%
African American,7%,Canada,4%
Hispanic/Latino,7%,,
