,Consolidated,Consolidated,Unconsolidated,Unconsolidated,Consolidated,Consolidated,Unconsolidated,Unconsolidated
(Dollars in millions),,,"December 31,2020",,,"December 31, 2019",$,
Maximum loss exposure(1),$,"4,106 $","23,870","27,976",$,"4,055 $","21,069","25,124"
On-balance sheetassets,,,,,,,,
Trading account assets (4),$,"2,080",623,"2,703",$,"2,213 $",549,"2,762"
Debtsecuritiescarriedatfaivalue (1),,,9,,9,,10,10
Loans and leases (4),,2.108,184,,"2,292","1,810",533,"2,343"
Allowanceforloanandleaselosses(1),,(3),(3),,(6),(2),,(2)
All other assets(1),,54,"22,553","22,607",,81,"19,354","19,435"
Total (2),$,"4,239","23,366","27,605",$,"4,102 $","20,446","24,548"
On-balance sheet liabilities,$,,,$,22,,,
Short-term borrowings,,22$,,,$,$,$,
Long-term debt All ther labiltls (t),,111,,,111,46,,46
Total (2),,,"5,658 5,658","5,658",,2,"4,896","4,898"
Total assets of VIEs (1),$ $,"133$ 4,239","77,984","82,223","5,791 $ $","48 $ 4,102 $","4,896 70,120 $","4,944 74,222"
