(Dollars in millions),December 31,December 31,December 31,December 31,December 31
(Dollars in millions),2020,2019,2018,2017,2016
Consumer,,,$,,
Residential mortgage,"$223,555","236,169","208,557","$203,811","191,797"
Home equity,"34,311","40,208","48,286","57,744","66,443"
Credit card,"78,708","97,608","98,338","96,285","92,278"
Non-U.S.credit card,1,,1,1,"9,214"
Direct/Indirect consumer(1),"91,363","90,998","91,166","96,342","95,962"
Other consumer (2),124,192,202,166,626
Total consumer loans excluding loans accounted for under the fair value option,"428,061","465,175","446,549","454,348","456,320"
Consumerloansaccountedforunderthefairvalueoption(3),735,594,682,928,"1,051"
Total consumer,"428,796","465,769","447,231","455,276","457,371"
Commercial,,,,,
U.S.commercial,"288,728","307,048","299,277","284,836","270,372"
Non-U.S.commercial,"90,460","104,966","98,776","97,792","89,397"
Commercial real estate (4),"60,364","62,689","60,845","58,298","57,355"
Commercial lease financing,"17,098","19,880","22,534","22,116","22,375"
,"456,650","494,583","481,432","463,042","439,499"
U.S. smallbusiness commercial(5),"36,469","15,333","14,565","13,649","12,993"
Total commercial loans excluding loans accounted forunder the fair value option,"493,119","509,916","495,997","476,691","452,492"
Commercial loansaccountedforunder thefairvalueoption(3),"5,946","7,741","3,667","4,782","6,034"
Total commercial,"499,065","517,657","499,664","481,473","458,526"
Less: Loans of business heldforsale (6),一,$,,,"(9,214)"
Total loans and leases,"927,861","983,426","946,895","936,749","906,683"
