"December 31, 2020",Nonperforming,Performing,,Total,"December 31, 2019",Nonperforming,Performing,Total
Dollars in millions,,,,,,,,
Commercial and industrial:,,,,,$,,,
U.S. commercial,$509,$850,,"$1,359",$617,$999,,"$1,616"
Non-U.S. commercial,49,119,168,,41,193,234,
Total commercial and industrial,558,969,,"1,527",658,,"1,192","1,850"
Commercial real estate,137,-,,137,212,14,226,
Commercial lease financing,42,2,44,,18,31,49,
,737,971,"1,708",,888,"1,237","2,125",
U.S. small business commercial,-,29,29,,-,27,27,
Total commercial troubled debt restructurings,$737,"$1,000","$1,737",,$888,"$1,264","$2,152",
