,Global Corporate Banking,Global Corporate Banking,Global Corporate Banking,Global Corporate Banking,Global Commercial Banking,Global Commercial Banking,Global Commercial Banking,Global Commercial Banking,Business Banking,Business Banking,Business Banking,Business Banking,Total,Total,Total,Total
(Dollars in millions),2020,2020,,,2019,2019,2020 2019,2020 2019,2020,2020,2019,2019,2020,2020,2019,2019
Revenue Business Lending,$,$,$,$,$,$,$,$,,,,,,,"8,489","8,489"
Global Transaction Services,$,"3,552 2,986",,"3,994 3,994",,"3,743 3,169",,"4,132 3,499",$,261 893,$,"363 1,064",$,"7,556 7,048",$,"8,557"
"Total revenue,net of interest expense",,,"6,538 $","7,988",$,"6,912",$,"7,631",$,"1,154",$,"1,427",$,"14,604",$,"17,046"
Balance Sheet,,,,,,,,,,,,,,,,
Average,Average,Average,Average,Average,Average,Average,Average,Average,,,,,,,,
Total loans and leases,,"$179,393",,"$ 177,713$182,212",,,,,"$181,485",,"14,410",,"15,058","$ 376,015",,"$374,256"
Total deposits,,,"216,371","177,924",,"191,813",,"144,620",$,"48,214",$,"40,196",,"456,398",,"362,740"
Year end,,,,,,,,,,,,,,,,
Total loans and leases,,,,,,$,,,,,,,,,,
,,"$153,126",,"$181,409",,"164,641",,,,,,,,,,
,,,,,,,,"$182,727",$,"13,242",,,$,"331,009",,"$379,288"
,,,,,,,,,,,$,"15,152",,,,
Total deposits,,,"233,484","185,352",,"207,597",,"157,322",,"52,150",,"40,504",,"493,231",,"383,178"
