Global Corporate Banking 2020,Global Corporate Banking 2019,Global Commercial Banking 2020,Global Commercial Banking 2019,Business Banking 2020,Business Banking 2019,Total 2020,Total 2019
Revenue,,,,,,,
Business Lending,$,$,,,,,
$,"$3,552","$3,994",,,,,
$,"$3,743","$4,132",,,,,
Total loans and leases,"$ 179,393","$ 177,713","$ 182,212","$ 181,485",,,"14,410"
$,,,,,,,
Total deposits,"216,371","177,924","191,813","144,620",,,"48,214"
Year end,,,,,,,
$,"$ 153,126","$ 181,409","$ 164,641","$ 182,727",,,"13,242"
Balance Sheet,,,,,,,
Average,,,,,,,
Total loans and leases,,,,,,,
$,"$ 153,126","$ 181,409","$ 164,641","$ 182,727",,,"13,242"
Total deposits,,,,,,,
$,"233,484","185,352","207,597","157,322",,,"52,150"
