,Home Equity (1),Home Equity (1),Home Equity (1),Home Equity (1),Credit Card (2),Credit Card (2),Resecuritization Trusts,Resecuritization Trusts,Resecuritization Trusts,Municipal Bond Trusts,Municipal Bond Trusts,Municipal Bond Trusts
(Dollars in millions),2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,
Unconsolidated VIEs,,,,2020,2019,,2020,,2019,,,2019
Maximum loss exposure,$,206$,412,$,$,,$,"8,543$","7,526",$,"3,507 $","3,701"
On-balance sheet assets,,,,,,,,,,,,
Securities ():,,,,,,,,,,,,
Trading account assets,$,$,,$,$,,$,948$,"2,188",$,,
Debt securities carried at fair value,,2,11,,,,,"2,727","1,126",,,
Held-to-maturity securities,,一,1,,,,,"4,868","4,212",,,
Total retained positions Total assets of VIEs,$ $,2$ 609$,11$,,-$ $,,$,"8,543 $","7,526",$,,
,,,"1,023",$,一,,$,"17,250 $","21,234",$,"4,042 $","4,395"
Consolidated VIEs,,,,,,,,,,,,
Maximum loss exposure,$,58$,,64$,"14,606$","17,915",$,217$,,54$,"1,030 $","2,656"
On-balance sheet assets,,,,,,,,,,,,
Trading account assets,$,1$,,$,$,,$,217$,73,,990$,"2,480"
Loans and leases,,218,122,,"21,310","26,985",,,,,,
Allowance for loan and lease losses,,14,(2),,"(1,704)",(800),,,,,,1
All other assets,$,4 236$,3,,"1,289",119,,一,,,40,176
Total assets,,,123,$,"20,895 $","26,304",$,217$,73$,,"1,030$","2,656"
On-balance sheet liabilites,$,1$,,$,$,,$,$,,,,
Short-term borrowings,,178,,,,,,,,$,432$,"2,175"
Long-term debt,,,64,,"6,273 16",8.372 17,,,19,,,1
All other liabilities,,一,一 64$,,"6,289 $",8.389,,$,19,$,,"2,175"
Total liabilities,$,178$,,,,,$,,,,432 $,
