2020,2019,2018,2017,2016
Shareholders' equity,"$ 267,309","$ 267,889","$ 264,748","$ 271,289,$ 265,843"
Goodwill,"(68,951)","(68,951)","(68,951)","(69,286),(69,750)"
Intangible assets (excluding MSRs),"(1,862)","(1,721)","(2,058)","(2,652),(3,382)"
Related deferred tax liabilities,821,773,906,"1,463,1,644"
Tangible shareholders' equity,"$ 197,317","$ 197,990","$ 194,645","$ 200,814,$ 194,355"
Preferred stock,"(23,624)","(23,036)","(22,949)","(24,188),(24,656)"
Tangible common shareholders' equity,"$ 173,693","$ 174,954","$ 171,696","$ 176,626,$ 169,699"
Shareholders' equity,"$ 272,924","$ 264,810","$ 265,325","$ 267,146,$ 266,195"
Goodwill,"(68,951)","(68,951)","(68,951)","(68,951),(69,744)"
Intangible assets (excluding MSRs),"(2,151)","(1,661)","(1,774)","(2,312),(2,989)"
Related deferred tax liabilities,920,713,858,"943,1,545"
Tangible shareholders' equity,"$ 202,742","$ 194,911","$ 195,458","$ 196,826,$ 195,007"
Preferred stock,"(24,510)","(23,401)","(22,326)","(22,323),(25,220)"
Tangible common shareholders' equity,"$ 178,232","$ 171,510","$ 173,132","$ 174,503,$ 169,787"
Assets,"$ 2,819,627","$ 2,434,079","$ 2,354,507","$ 2,281,234,$ 2,188,067"
Goodwill,"(68,951)","(68,951)","(68,951)","(68,951),(69,744)"
Intangible assets (excluding MSRs),"(2,151)","(1,661)","(1,774)","(2,312),(2,989)"
Related deferred tax liabilities,920,713,858,"943,1,545"
Tangible assets,"$ 2,749,445","$ 2,364,180","$ 2,284,640","$ 2,210,914,$ 2,116,879"
