,Less than Twelve Months Gross,Less than Twelve Months Gross,Less than Twelve Months Gross,Twelve Months or Longer Gross,Twelve Months or Longer Gross,Twelve Months or Longer Gross,Total,Total,Total
,Fair Value,Unrealized Losses,Unrealized Losses,Fair Value,Fair Value,Unrealized Losses,Unrealized Losses,Gross Unrealized,Gross Unrealized
(Dollars in millions),,,,"December31,2020",,,Value,,Losses
Continuously unrealized loss-positioned AFS debt securities,,,,,,,,,
Mortgage-backed securities:,,,,,,,,,
Agency,"2,841","2,841","2,841","2,841","2,841","2,841","2,841","2,841","2,841"
Agency-collateralized mortgage obligations,187,$,(39）$ (2),364,$,$ (11),"2,843 551",$,(39) (13)
Commercial,566,,(4),9,,1,,575,(4)
Non-agency residential,342,,（9),56,,(8),398,,(17)
Total mortgage-backed securities,"3,936",,(54),431,,(19),"4,367",,（73）
U.S. Treasury and agency securities,"8,282",,（9),498,,(4),,"8,780",(13)
Non-U.S.securities,"1,861",,(6),,135,(1),,"1,996",(7)
"Other taxable securities,substantially all asset-backed securities",,576,(2),,396,(4),,972,
,"14,655",,(71),"1,460",,(28),,"16,115",(99)
Total taxable securities Tax-exempt securities,,,(29),,617,(3),,"4,725",(32)
Total AFS debt securities in a continuous,"4,108","4,108","4,108","4,108","4,108","4,108","4,108","4,108","4,108"
unrealized loss position,"(100)$ 2,077 $","(100)$ 2,077 $","(100)$ 2,077 $","(100)$ 2,077 $","(100)$ 2,077 $","(100)$ 2,077 $","(100)$ 2,077 $","(100)$ 2,077 $","(100)$ 2,077 $"
Continuously unrealized loss-positioned AFS debt securities,"December 31,2019","December 31,2019","December 31,2019","December 31,2019","December 31,2019","December 31,2019","December 31,2019","December 31,2019","December 31,2019"
Mortgage-backed securities:,"17,641",,(41)$,,,,,$,
Agency,$,255,(1),"17,238 925",$,(142)$,"34,879 1,180",,(183) (24)
Agency-collateralized mortgage obligations Commercial,,"2,180",(22),442,,(23) (3）,,,(25)
Non-agency residential,,122,(6),,22,(3),,"2,622 144",（9）
,,"20,198",,"18,627",,,,,
Total mortgage-backed securities U.S.Treasury and agency securities,,,（70),,,(171),"38,825",,(241)
,,"12,836",(71),"18,866",,(124),"31,702",,(195)
Non-U.S.securities,,851,,,837,(2),,"1,688",(2)
"Other taxable securities,substantially all asset-backed securities",,938,,,222,,,"1,160",
Total taxable securities,,"34,823",(141),"38,552",,(297),,"73,375",(438)
Tax-exempt securities,"4,286",,(5),190,,(1),"4,476",,
Total AFS debt securities in a continuous unrealized loss position,$,"39,109 $",,"(146)$38,742",$,(298)$,"77,851",$,(444)
