Global Wealth & Investment Management,2020,2019,2018,Global Banking,2020,2019,2018
Net interest income,"$ 5,468","$ 6,504","$ 6,265","$ 9,013","$ 10,675","$ 10,993",
Noninterest income,"13,116","13,034","13,188","9,974","9,808","9,008",
"Total revenue, net of interest expense","18,584","19,538","19,453","18,987","20,483","20,001",
Provision for credit losses,357,82,86,"4,897",414,8,
Noninterest expense,"14,154","13,825","14,015","9,337","9,011","8,745",
Income before income taxes,"4,073","5,631","5,352","4,753","11,058","11,248",
Income tax expense,998,"1,380","1,364","1,283","2,985","2,923",
Net income,"$ 3,075","$ 4,251","$ 3,988","$ 3,470","$ 8,073","$ 8,325",
Period-end total assets,"$ 369,736","$ 299,770",,,,"$ 580,561","$ 464,032"
