,"December31,2020","December31,2020","December31,2020","December31,2020","December31,2020","December31,2020","December31,2020","December31,2020","December31,2020"
,,Expected Maturity,Expected Maturity,Expected Maturity,Expected Maturity,Expected Maturity,Expected Maturity,Expected Maturity,Expected Maturity
"(Dollars in millions,average estimated duration in",Fair,,,,,,,,Average Estimated
years) Receive-fixed interest rate swaps (1),"Value $ 14,885","Total $269,015",2021,2022,2023,2024,2025,Thereafter,Duration 8.08
Notional amount Weighted-average fixed-rate,"(5,502)",1.54 %,"$11,050 3.25%","$20,908 0.91%","$30,654 1.48 %","$31,317 1.17 %","$32,898 1.07 %","$142,188 1.69 %",6.52
Pay-fixed interestrate swaps (1) Notional amount,,"$252,698 0.89 %","$7,562","$21,667","$24,671","$24,406","$32,052","$142,340",
Weighted-average fixed-rate Same-currency basis swaps (2),(235),"$223,659",0.57 %,0.10 %,1.28 %,0.86%,0.68%,1.00 %,
"Notional amount Foreign exchange basis swaps (1,3,4)","(1,014)",,"$18,769","$12,245","$9,747","$22,737","$28,222","$131,939",
"Notional amount Foreign exchangecontract (1,45)",349,"112,465","27,424","16,038","8,066","3,819","4,446","52,672",
Notional amount (6) Futures and forward rate contracts,47,"(42,490)","(69,299)","2,841","2,505","4,735","4,369","12,359",
Notional amount,,"14,255","14,255",,1,,,,
Option products,,17,,,,,,,
Notional amount,,,1,一,17,,,,
,"$ 8,530",,,,,,,,
Net ALM contracts,,,,,,,,,
"December 31,2019","December 31,2019","December 31,2019","December 31,2019","December 31,2019","December 31,2019","December 31,2019","December 31,2019","December 31,2019","December 31,2019"
,Expected Maturity,Expected Maturity,Expected Maturity,Expected Maturity,Expected Maturity,Expected Maturity,Expected Maturity,Expected Maturity,Expected Maturity
,Fair,,,,,,,,Average Estimated Duration
"(Dollars in millions,average estimated duration in years) Receive-fixed interest rate swaps (1)","Value $ 12,370",Total,2020,2021,2022,2023,2024,Thereafter,6.47
Notional amount Weighted-average fixed-rate,,"$215,123 2.68%","$16,347 2.68%","$14,642 3.17 %","$21,616 2.48%","$36,356 2.36 %","$21,257 2.55%","$104,905 2.79 %",6.99
Pay-fixed interestrateswaps (1) Notional amount,"(2,669)","$69,586","$4,344","$2,117",$,"$13,993","$8,194","$40,938",
Weighted-average fixed-rate Same-currency basis swaps (2),(290),2.36 %,2.16 %,2.15%,一%,2.52 %,2.26%,2.35 %,
Notional amount,,"$152,160","$18,857","$18,590","$4,306","$2,017","$14,567","$93,823",
"Foreign exchange basis swaps(13,4) Notional amount","(1,258)","113,529","23,639","24,215","14,611","7,111","3,521","40,432",
,414,,,,,,,,
Notional amount (6),,"(53,106)","(79,315)","4,539","2,674","2,340","4,432","12,224",
Option products,,,,,,,,,
,,,,1,1,15,,,
Notional amount Net ALMcontracts,"$ 8,567",15,1,,,,1,1,
