,Fair,Valuation,Significant Unobservable,Ranges of,Weighted
Financial Instrument,Value,Technique,Inputs,Inputs,Average (1)
Loans and Securities (2),,,,,
Instruments backed by residential real estate assets,$1.543,,Yield,(3)% to 25%,6%
"Trading account assets- Mortgage trading loans,ABS and other MBS",467,Discounted cash,Prepayment speed,1% to 56% CPR,20% CPR
Loans and leases,431,"flow,Market",Default rate,0% to 3% CDR,1% CDR
AFS debt securities-Non-agency residential,378,comparables,Price,$0 to $168,$110
Other debt securities carried at fair value- Non-agency residential,267,,Loss severity,0% to 47%,18%
Instruments backed by commercial real estate assets,$ 407,,Yield,0% to 25%,4%
"Trading account assets - Corporate securities,trading loans and other",262,,Price,$0 to $100,$52
"Trading account assets - Mortgage trading loans,ABS and other MBS",,Discounted cash flow,,,
"AFS debtsecurities,primarily other taxable securities",,,,,
Loans held-for-sale,13,,,,
"Commercial loans, debt securities and other","$3,066",,Yield,0% to 26%,9%
"Trading account assets- Corporate securities,trading loans and other","1,097",,Prepayment speed,10% to 20%,14%
Trading account assets - Non-U.S.sovereign debt,354,Discounted cash,Default rate,3% to 4%,4%
"Trading account assets - Mortgage trading loans,ABS and other MBS",930,"flow,Market",Loss severity,35% to 40%,38%
AFS debt securities -Tax-exempt securities,176,comparables,Price,$0 to $142,$66
Loans and leases,286,,Long-dated equityvolatities,77%,n/a
"Loans held-for-sale Other assets,primarily auction rate securities",223,,Price,,
,$ 937,"Discounted cash flow,Market comparables",Discount rate,$10 to $97 8%,$91 n/a
MSRs,"$1,033",,"Weighted-average life,fixdrate(5)",0 to 13 years,4 years
,,Discounted cash flow,Weighted-averagelifevariblerate ),0 to 10 years,3years
,,,"Option-adjusted spread,fixdte",7% to 14%,9%
Structured liabilities,,,"Option-adjusted spread,variablerate",9% to 15%,12%
Long-term debt,"$(1,164)",,,,9%
,,Discounted cash,Yield Equity correlation,0% to 11%,64%
,,flow，Market,,2% to 100%,
,,"comparables,",Long-dated equity volatilities,7% to 64%,32%
,,Industry standard derivative pricing (3),Price,$0 to $124,$86
,,,Natural gas forward price,$1/MMBtu to $4/MMBtu,$3/MMBtu
Net derivative assets (liabilities),,,,,
Credit derivatives,$ (112),,Yield,5%,n/a
,,Discounted cash,Upfront points,0 to 100 points,75 points
,,"flow, Stochastic",Prepayment speed,15% to 100% CPR,22% CPR
,,recovery correlation,Default rate,2%CDR,n/a
,,model,Credit correlation,21% to 64%,57%
,,,Price,$0 to $122,$69
Equity derivatives,$ (1.904),Industry standard,Equity correlation,2% to 100%,64%
,,derivative pricing(3),Long-dated equity volatilities,7% to 64%,32%
Commodity derivatives,"$ (1,426)",Discounted cash,Natural gas forward price,$1/MMBtu to $4/MMBtu,$3 /MMBtu
,,"flow,Industry",Correlation,39% to 85%,73%
,,standard derivative pricing (3),Volatilities,23% to 70%,39%
Interest rate derivatives,,,,,
,(26,,Correlation (IR/IR),15% to 96%,34%
,,,Correlation (FX/IR),0% to 46%,3%
,,Industry standard,Long-dated inflation rates,(7)% to 84%,14%
,,derivative pricinga4),Long-dated inflation volatilities,0% to 1%,1%
,,,Interest rate volatilities,0% to 2%,1%
Total net derivative assets (liabilities),"$(3,468)",,,,
