,Outstandings,Outstandings,Nonperforming,Nonperforming,Accruing Past Due 90 Days orMore (3),Accruing Past Due 90 Days orMore (3)
,December 31,December 31,December 31,December 31,December 31,December 31
(Dollars in millions) Commercial and industrial:,2020,2019,2020,2019,2020,2019
U.S.commercial,"288,728","307,048","1,243","1,094$",228$,106
Non-U.S.commercial,"90,460","104,966",418,43,10,8
Total commercial and industrial,"379,188","412,014","1,661","1,137",238,114
Commercial real estate,"60,364","62,689",404,280,6,19
Commercial lease financing,"17,098","19,880",87,32,25,20
,"456,650","494,583","2,152","1,449",269,153
U.S.smallbusiness commercial(1),"36,469","15,333",75,50,115,97
Commercial loans excluding loans accounted for under the fair value option,"493,119","509,916","2,227","1,499",384,
Loans accounted for under thefair value option 2),,"7,741",,,,250
Total commercial loansand leases,"5,946 499,065","517,657",,,,
