Outstandings(1),Outstandings(1),Nonperforming(1),Nonperforming(1),Net Charge-offs,Net Charge-offs
(Dollars in millions),December 31,December 31,December 31,December 31,2020
California,"$83,185","$88,998",$570,$274,(18)
New York,"23,832","22,385",272,196,5
Florida,"13,017","12,833",175,143,(12)
Texas,"8,868","8,943",78,65,1
New Jersey,"8,806","8,734",98,77,(4)
Other,"74,029","75,586",812,715,(15)
Residential mortgage loans,"$211,737","$217,479",,,-
Fully-insured loan portfolio,"11,818","18,690",,,
Total residential mortgage loan portfolio,"$223,555","$236,169",,,
