Dollars in millions,2020,2019
"Nonperforming loans and leases, January 1",1499,1102
Additions,3518,2048
Reductions:,,
Paydowns,-1002,-648
Sales,-350,-215
Returns to performing status (3),-172,-120
Charge-offs,-1208,-478
Transfers to foreclosed properties,-2,-9
Transfers to loans held-for-sale,-56,-181
Total net additions to nonperforming loans and leases,728,397
Total nonperforming loans and leases, December 31,"2227,1499"
Foreclosed properties, December 31,"41,56"
Nonperforming commercial loans, leases and foreclosed properties,"December 31,2268,1555"
Nonperforming commercial loans, leases and foreclosed properties as a percentage of outstanding commercial loans and leases (4),"0.45 %,0.29 %"
Nonperforming commercial loans, leases and foreclosed properties as a percentage of outstanding commercial loans,"leases and foreclosed properties (4),0.46,0.30"
