,Expire in One Year or Less,Expire in One Year or Less,Expire After One Year Through Three Years,Expire After One Year Through Three Years,Expire After Five Years,Expire After Five Years
(Dollars in millions),,,"Years Through Five Years December31,2020",,,Total
Notional amount of credit extension commitments,,,,,,
Loan commitments (1),,"109,406 $","171,887 $","139,508 $","16,091 $","436,892"
Home equity lines of credit,,710,"2,992","8,738","29,892","42,332"
Standbylettesofreditandfinaalguaraes(2),,"19,962",,"2,397","1,257","35,654"
Letters of credit (3),,,"12,038",25,27,
,,886,"197 187,114","150,668",,"1,135 516,013"
Legally binding commitments,,"130,964 384,955",,,"47,267","384,955"
Credit card lines 4) Total credit extension commitments,,"515,919$","187,114$","150,668$",,"900,968"
$,,,,,"47,267$",
Notional amount of credit extension commitments,"December 31, 2019","December 31, 2019","December 31, 2019","December 31, 2019","December 31, 2019","December 31, 2019"
Loan commitments (1),,,,,,
,,"97,454$","148,000 $","173,699","24,487","443,640"
Home equity lines of credit,,"1,137","1,948","6,351","34,134","43,570"
Standbyleters of credit and financial guarantees (2),,"21,311","11,512","3,712",408,"36,943"
Letters of credit (3),,"1,156",254,65,25,"1,500"
Legally binding commitments Credit card lines (4),,"121,058","161,714","183,827","59,054","525,653"
,,"376,067",,,,"376,067"
Total credit extension commitments,$,"497,125$","161,714$","183,827","59,054 $","901,720"
