(Dollars in millions),December 31,December 31
,2020,2019
Assets,,
Cash held at bank subsidiaries (),"5,893","5,695"
Securities,,656
Receivables from subsidiaries:,701,
Bank holding companies and related subsidiaries,"206,566","173,301"
Banks and related subsidiaries,213,51
Nonbank companies and related subsidiaries,410,391
Investments in subsidiaries:,,
Bank holding companies and related subsidiaries,"305,818","297,465"
Nonbank companies and related subsidiaries,"3,715","3,663"
Other assets,"9,850","9,438"
Total assets,"533,166","490,660"
Liabilitiesand shareholders'equity,$,
Accrued expenses and other liabilities,$,"13,381"
Payables to subsidiaries:,"15,965",
Banks and related subsidiaries,129,458
Nonbank companies and related subsidiaries,"11,067","12,102"
Long-term debt,"233,081","199,909"
Total liabilities,"260,242","225,850"
Shareholders'equity,"272,924","264,810"
Total liabilitiesand shareholders'equity,"533,166","490,660"
