Level 1,Level 2,Level 3,Total,Level 1,Level 2,Level 3,Total
Cash and short-term investments,,,,,,,
Money market and interest-bearing cash,$,"1,380",$,—,$,—,"$,1,380,$,1,426,$,—,$,—,$,1,426"
Cash and cash equivalent commingled/mutual funds,—,$,383,$,—,$,"—,$,383,$,250,$,—,$,—,$,250"
Fixed income,,,,,,,
U.S. government and agency securities,"4,590","1,238",7,"5,835","4,403",890,"8,5,301"
Corporate debt securities,—,"5,021",—,"5,021",—,"3,676","—,3,676"
Asset-backed securities,—,"1,967",—,"1,967",—,"2,684","—,2,684"
Non-U.S. debt securities,"1,021","1,122",—,"2,143",748,"1,015","—,1,763"
Fixed income commingled/mutual funds,"1,224","1,319",—,"2,543",804,"1,439","—,2,243"
Equity,,,,,,,
Common and preferred equity securities,"4,438",—,—,"4,438","4,655",—,"—,4,655"
Equity commingled/mutual funds,134,"1,542",—,"1,676",147,"1,355","—,1,502"
Public real estate investment trusts,73,—,—,73,91,—,"—,91"
Real estate,,,,,,,
Real estate commingled/mutual funds,—,20,943,963,—,18,"927,945"
Limited partnerships,—,184,83,267,—,173,"90,263"
Other investments (1),5,401,691,"1,097",11,390,"636,1,037"
"Total plan investment assets, at fair value",$,"12,865",$,"13,197",$,"1,724","$,27,786,$,12,285,$,11,890,$,1,661,$,25,836"
