30-59 Days Past Due (1),60-89 Days Past Due (1),90 Days or More Past Due (1),Total Past Due 30 Days or More,Total Current or Less Than 30 Days Past Due (1),Loans Accounted for Under the Fair Value Option,Total Outstandings
Consumer real estate,,,,"$213,155",,
Core portfolio,"$1,157",175,786,"$2,118",,"$215,273"
Home equity,126,61,269,456,"29,872",
Non-core portfolio,273,122,913,,"6,974",
Residential mortgage,,,76,"$1,308","3,862","8,282"
Home equity Credit card and other consumer,28,17,,121,,"3,983"
Credit card,445,341,903,"$1,689","77,019","78,708"
Direct/Indirect consumer(2),209,67,37,313,"91,050","91,363"
Other consumer Total consumer,"- 2,238",- 783,"- 2,984","$6,005",124,"422,056"
Consumer loans accounted for under the fair value option (3),,,,,735,735
Total consumer loans and leases,"2,238",783,"2,984","$6,005","422,056",735
Commercial U.S.commercial,561,214,512,"$1,287","287,441","288,728"
Non-U.S.commercial,61,44,11,116,"90,344","90,460"
Commercial real estate (4),128,113,226,467,"59,897","60,364"
Commercial lease financing,86,20,57,163,"16,935","17,098"
U.S.smallbusiness commercial (5),84,56,123,263,"36,206","36,469"
Total commercial,920,447,929,"$2,296","490,823","493,119"
Commercial loans accounted for under the fair value option (3),,,,,"5,946","5,946"
Total commercial loansand leases,920,447,929,"$2,296","490,823","5,946"
Total loans and leases (6),"3,158","1,230","3,913","$ 8,301","$912,879","6,681"
Percentage of outstandings,,,,,,100.00%
