Overnight and Continuous,30 Days or Less,After 30 Days Through 90 Days,After 30 Days Through 90 Days,"Greater than 90 Days (,Total"
(Dollars in millions) Securities sold under agreements to repurchase,"$158,400","$122,448",,"$32,149"
Securities loaned,,,271,
,"19,140",271,-,-
Other Total,"$16,210 193,750","一 122,719$",,
,,,"33,178$",
,,,"December 31,2019",
Securities sold under agreements to repurchase,"$129,455 $","$122,685$","$25,322 $","$21,922 $"
Securities loaned,"18,766","3,329","1,241",
Other,"15,346",,,
Total,"$163,567$","$126,014$",,"$26,563$"
