(Dollars in millions),Short Rate (bps),Long Rate (bps),December 31,December 31,December 31
(Dollars in millions),Short Rate (bps),Long Rate (bps),2020,,2019
Parallel Shifts,,,,,
+100 bps instantaneous shift,+100,+100,$,"10,468 $","4,190"
-25 bps,,,,,
instantaneous shift Flatteners,-25,-25,,"(2,766)","(1,500)"
Short-end,,,,,
instantaneous change Long-end,+100,,,"6,321","2,641"
instantaneous change,,-25,,"(1,686)",(653)
Steepeners,,,,,
Short-end instantaneous change,-25,,,,
,,,,"(1,084)",(844)
Long-end,,,,,
instantaneous change,,+100,,"4,333","1,561"
