,Due to Change in (1),Due to Change in (1),Due to Change in (1),Due to Change in (1) Volume,Due to Change in (1) Volume,Due to Change in (1) Volume,Net Change,Net Change,Net Change
,Volume Rate,Volume Rate,Volume Rate,Net Change,Net Change,Net Change,Rate,Rate,Rate
,From2019 to2020,From2019 to2020,From2019 to2020,,,,,From 2018 to 2019,
Increase (decrease) in interest income,Increase (decrease) in interest income,Increase (decrease) in interest income,,,,,,,
"Interest-bearing deposits with the Federal Reserve,non-U.S.central banks and other","Interest-bearing deposits with the Federal Reserve,non-U.S.central banks and other","Interest-bearing deposits with the Federal Reserve,non-U.S.central banks and other",,"$ (3,313) $","(1,464)$",,(193）$,,
banks Time deposits placed and other short-term investments,banks Time deposits placed and other short-term investments,banks Time deposits placed and other short-term investments,"1,849 (13)",(165),(178),,1,90$ (9),(103)
Federal funds sold and securities borrowed or purchased under agreements to resell,Federal funds sold and securities borrowed or purchased under agreements to resell,Federal funds sold and securities borrowed or purchased under agreements to resell,519,"(4,459)","(3,940)",347,,"1,320","(9) 1,667"
Trading account assets,Trading account assets,Trading account assets,3,"(1,087)","(1,084)",563,,(195),368
Debt securities,Debt securities,Debt securities,"2,188","(4,237)","(2,049)",135,,(5),80
Loans and leases,Loans and leases,Loans and leases,,,,,,,
Residential mortgage,Residential mortgage,Residential mortgage,563,(876),(313),447,,（90),357
Home equity,Home equity,Home equity,(312),(592),(904),(446),,67,(379)
Credit card,Credit card,Credit card,"(1,018)",(389),"(1,407)",(17),,604,587
Direct/Indirect and other consumer,Direct/Indirect and other consumer,Direct/Indirect and other consumer,(22),(694),(716),（76),,233,157
Total consumer,Total consumer,Total consumer,,,"(3,340)",,,,722
U.S. commercial (2),U.S. commercial (2),U.S. commercial (2),912,"(4,361)","(3,449)",665,,559,"1,224"
Non-U.S.commercial (2),Non-U.S.commercial (2),Non-U.S.commercial (2),80,"(1,274)","(1,194)",209,,(27),182
Commercial real estate,Commercial real estate,Commercial real estate,63,"(1,014)",(951),,75,48,123
Commercial lease financing,Commercial lease financing,Commercial lease financing,(76),(83),(159),,(28),48,20
Total commercial,Total commercial,Total commercial,,,"(5,753)",,,,"1,549"
Total loans and leases,Total loans and leases,Total loans and leases,,,,"(9,093)",,,"2,271"
Other earning assets,Other earning assets,Other earning assets,905,"(2,844)","(1,939)",(417),,595,178
Net increase (decrease) in interest income,Net increase (decrease) in interest income,Net increase (decrease) in interest income,,,"$ (19,747)",,,$,"4,452"
Increase (decrease) in interest expense U.S.interest-bearing deposits,Increase (decrease) in interest expense U.S.interest-bearing deposits,Increase (decrease) in interest expense U.S.interest-bearing deposits,,,,,,,
Savings,Savings,Savings,,,,,,,
Demand and money market deposit accounts,Demand and money market deposit accounts,Demand and money market deposit accounts,1,$ 一,$ 1,$,(1）$,$,(1)
Consumer CDs and IRAs,Consumer CDs and IRAs,Consumer CDs and IRAs,507,"(4,001)","(3,494)",254,,"1,581","1,835"
,,,2,(68),(66),,29,285,314
"Negotiable CDs,public funds and other deposits","Negotiable CDs,public funds and other deposits","Negotiable CDs,public funds and other deposits",(39),"(1,045)","(1,084)",,320,96,416
Total U.S.interest-bearing deposits,Total U.S.interest-bearing deposits,Total U.S.interest-bearing deposits,,,"(4,643)",,,,"2,564"
Non-U.S.interest-bearing deposits,Non-U.S.interest-bearing deposits,Non-U.S.interest-bearing deposits,,,,,,,
Banks located in non-U.S.countries,Banks located in non-U.S.countries,Banks located in non-U.S.countries,(5),(11),(16),,(6）,(13),(19)
"Time,savings and other","Time,savings and other","Time,savings and other",68,(654),(586),,41,107,148
Totalnon-U.S.interest-bearing deposits,Totalnon-U.S.interest-bearing deposits,Totalnon-U.S.interest-bearing deposits,,,(602),,,,129
Total interest-bearing deposits,Total interest-bearing deposits,Total interest-bearing deposits,,,"(5,245)",,,,"2,693"
"Federal funds purchased,securities loaned or sold under agreements to repurchase, short-term borrowings and other interest-bearing liabilities","Federal funds purchased,securities loaned or sold under agreements to repurchase, short-term borrowings and other interest-bearing liabilities","Federal funds purchased,securities loaned or sold under agreements to repurchase, short-term borrowings and other interest-bearing liabilities",451,,"(6,221)",160,,,
Trading account liabities,Trading account liabities,Trading account liabities,(111),"(6,672) (164)",(275),,,"1,209 36","1,369 (109)"
Long-term debt,Long-term debt,Long-term debt,619,"(2,998)","(2,379)",,(145) 41,,
