"(Dollars in millions) Nonperforming loans and leases, January 1",2020,2019
"(Dollars in millions) Nonperforming loans and leases, January 1","$ 2,053","$ 3,842"
Additions,"2,278","1,407"
Reductions:,,
Paydowns and payoffs,(440),(701)
Sales,(38),"(1,523)"
Returns toperforming status (1),"(1,014)",(766)
Charge-offs,(78),(111)
Transfers to foreclosed properties,(36),(95)
Total netadditions/(reductions) to nonperforming loans and leases,672,"(1,789)"
"Total nonperforming loansand leases,December 31","2,725","2,053"
"Foreclosed properties,December31(2)",123,229
"Nonperformingconsumer loans,leasesand foreclosed properties,December31",$ 2.848,"$ 2,282"
Nonperforming consumer loans and leases as a percentage of outstanding consumer loans and leases (3),0.64 %,0.44 %
"Nonperforming consumer loans,leasesand foreclosed propertiesasapercentageofoutstanding consumerloans,leasesand foreclosed properties(3)",0.66,0.49
