"In millions, except per share information",2020,2020,2019,2019,2019
"Earnings per common share,Net income","$ 17,894",,"$ 27,430","$ 28,147",
"Earnings per common share,Preferred stock dividends","(1,421)",,"(1,432)","(1,451)",
"Earnings per common share,Net income applicable to common shareholders","$ 16,473",,"$ 25,998","$ 26,696",
"Earnings per common share,Average common shares issued and outstanding","8,753.2",,"9,390.5","10,096.5",
"Earnings per common share,Earnings per common share",$ 1.88,,$ 2.77,$ 2.64,
"Diluted earnings per common share,Net income applicable to common shareholders","$ 16,473",,"$ 25,998","$ 26,696",
"Diluted earnings per common share,Average common shares issued and outstanding","8,753.2",,"9,390.5","10,096.5",
"Diluted earnings per common share,Dilutive potential common shares (1)",43.7,,52.4,140.4,
"Diluted earnings per common share,Total diluted average common shares issued and outstanding","8,796.9",,"9,442.9","10,236.9",
"Diluted earnings per common share,Diluted earnings per common share",$ 1.87,,$ 2.75,$ 2.61,
