Dollars in millions,Outstandings,Nonperforming,Net Charge-offs
Core portfolio,2020,2019,"2020,2019,2020,2019"
Residential mortgage,"$ 215,273","$ 225,770","$ 1,390,$ 883,$ (25),$ 7"
Home equity,"$ 30,328","$ 35,226","$ 462,$ 363,$ (6),$ 51"
Total core portfolio,"245,601","260,996","1,852,1,246,(31),58"
Non-core portfolio,2020,2019,"2020,2019,2020,2019"
Residential mortgage,"$ 8,282","$ 10,399","$ 615,$ 587,$ (5),$ (54)"
Home equity,"$ 3,983","$ 4,982","$ 187,$ 173,$ (67),$ (409)"
Total non-core portfolio,"12,265","15,381","802,760,(72),(463)"
Consumer real estate portfolio,2020,2019,"2020,2019,2020,2019"
Residential mortgage,"$ 223,555","$ 236,169","$ 2,005,$ 1,470,$ (30),$ (47)"
Home equity,"$ 34,311","$ 40,208","$ 649,$ 536,$ (73),$ (358)"
Total consumer real estate portfolio,"$ 257,866","$ 276,377","$ 2,654,$ 2,006,$ (103),$ (405)"
Allowance for Loan and Lease Losses,December 31,2020,"2019,2020,2019"
Core portfolio,Residential mortgage,$ 374,"$ 229,$ 136,$ 22"
Home equity,$ 599,$ 120,"$ 135,$ 58"
Total core portfolio,973,349,"271,36"
Non-core portfolio,Residential mortgage,$ 85,"$ 96,$ 75,$ (134)"
Home equity,$ (63),$ 101,"$ (21),$ (510)"
Total non-core portfolio,22,197,"54,(644)"
Consumer real estate portfolio,Residential mortgage,$ 459,"$ 325,$ 211,$ (112)"
Home equity,$ 536,$ 221,"$ 114,$ (568)"
Total consumer real estate portfolio,$ 995,$ 546,"$ 325,$ (680)"
