(Dollars in millions) Current income tax expense U.S. federal,2020,2019,2018,,
(Dollars in millions) Current income tax expense U.S. federal,,,816,,
(Dollars in millions) Current income tax expense U.S. federal,,,816,"$ 1,092",
,$,"1,136 $",,,
U.S.state and local,"1,076","901 1,377",,,
Non-U.S.,670,"852 1,203",,,
Total current expense,"2,838","2,889","3,396","$ 1,092",
Deferred income tax expense,,,,"$ 1,092",
U.S. federal,(799),"2,001","2,579","$ 1,092",
U.S.state and local,(233),223,240,,
Non-U.S.,(705),211,222,,
Total deferred expense,"(1,737)","2,435","3,041",,
Total income tax expense,"$ 1,101","$ 5,324","$ 6,437",,
