Contract/Notional,Trading and Other Risk Management Derivatives,Qualifying Accounting Hedges,,Trading and Other Risk Management Derivatives,Qualifying Accounting Hedges,Total
Swaps,"$ 13,242.8",$ 199.9,$ 10.9,$ 210.8,$ 209.3,"$ 1.3,$ 210.6"
Futures and forwards,3.222.2,3.5,0.1,3.6,3.6,"0.5,4.1"
Written options,"1,530.5",-,45.3,-45.3,40.5,"-,40.5"
Purchased options,"1,545.8",45.3,-,45.3,-,"-,45.3"
Swaps,"1,475.8",37.1,0.3,37.4,-,"0.6,40.3"
"Spot, futures and forwards","3,710.7",53.4,-,54.5,0.5,"0.5,55.0"
Written options,289.6,-,5.0,-5.0,4.8,"-,4.8"
Purchased options,279.3,5.0,-,5.0,-,"5.0,-"
Swaps,320.2,13.3,-,13.3,14.5,"-,14.5"
Futures and forwards,106.2,0.3,-,0.3,1.4,"-,1.4"
Written options,599.1,-,52.6,-52.6,-,"-,52.6"
Purchased options,541.2,52.6,-,52.6,-,"52.6,-"
Swaps,36.4,1.9,-,1.9,4.4,"-,4.4"
Futures and forwards,63.6,2.0,-,2.0,1.0,"-,1.0"
Written options,24.6,-,1.4,-1.4,-,"-,1.4"
Purchased options,24.7,1.5,-,1.5,-,"1.5,-"
Purchased credit derivatives:,-,2.3,-,2.3,4.4,"-,4.4"
Credit default swaps,322.7,2.3,-,2.3,4.4,"-,4.4"
Total return swaps/options,63.6,0.2,-,0.2,1.0,"-,1.0"
Written credit derivatives:,-,4.4,-,4.4,1.9,"-,1.9"
Credit default swaps,301.5,4.4,-,4.4,1.9,"-,1.9"
Total return swaps/options,68.6,0.6,-,0.6,0.4,"-,0.4"
Gross derivative assets/liabilities,$ 423.3,$ 11.3,$ 434.6,$ 431.6,$ 2.4,$ 434.0
Less: Legally enforceable master netting agreements,-,344.9,-,344.9,-,"-,344.9"
Less: Cash collateral received/paid,-,42.5,-,43.6,-,"-,43.6"
Total derivative assets/liabilities,$ 47.2,$ 45.5,,,,
