Dollars in millions,Reported Basis (1),Excluding Fully-insured Loans (1),Excluding Fully-insured Loans (1),Excluding Fully-insured Loans (1)
,,December 31,December 31,December 31
Outstandings,"$223,555","$236,169","$211,737","$217,479"
Accruing past due 30 days or more,2.314,"3,108","1,224","1,296"
Accruing past due 90 days or more,762,"1,088",1,
Nonperforming loans (2),"$2,005","$1,470","$2,005","$1,470"
Percent of portfolio,,,,
Refreshed LTV greater than 90 but less than or equal to 100,2%,2%,1%,2%
,Refreshed LTV greater than 100,1,1,1
,,Refreshed FICO below 620,2,3
,,,1,2
,,2006 and 2007 vintages (3),3,4
