Derivative Assets,Derivative Liabilities,Derivative Assets,Derivative Liabilities
"December 31, 2020","December 31, 2020","December 31, 2019","December 31, 2019"
Interest rate contracts,Over-the-counter,247.7,"243.5,203.1,$,196.6,$,0.1,0.1"
Exchange-traded,10.2,9.1,"6.0,5.3"
Over-the-counter cleared,,,","
Foreign exchange contracts,Over-the-counter,92.2,"96.5,69.2,73.1,1.4,1.3,0.5,0.5"
Over-the-counter cleared,,,","
Equity contracts,Over-the-counter,31.3,"28.3,21.3,17.8,32.3,31.0,26.4,22.8"
Exchange-traded,,,","
Commodity contracts,Over-the-counter,3.5,"5.0,2.8,4.2,0.7,0.7,0.8,0.8"
Exchange-traded,,,","
Over-the-counter cleared,,,","
Over-the-counter cleared,,,
Credit derivatives,Over-the-counter,5.2,"5.6,6.4,6.6,2.2,1.9,2.5,2.2"
Over-the-counter cleared,,,","
"Total gross derivative assets/liabilities, before netting",Over-the-counter,379.9,"378.9,302.8,298.3,33.0,31.7,27.3,23.7"
Exchange-traded,,,","
Over-the-counter cleared,13.8,12.3,"9.0,8.1,,,,"
Less: Legally enforceable master netting agreements and cash collateral received/paid,Over-the-counter,(345.7),"(347.2),(274.7),(269.3),(29.5),(29.5),(21.5),(21.5)"
Exchange-traded,,,","
Over-the-counter cleared,(12.2),(11.8),"(8.1),(8.1),,,,"
"Derivative assets/liabilities, after netting",39.3,34.4,"34.8,31.2,7.9,11.1,5.7,7.0"
Other gross derivative assets/liabilities,,,","
Total derivative assets/liabilities,47.2,45.5,"40.5,38.2,,,,"
Less: Financial instruments collateral,(16.1),(16.6),"(14.6),(16.1),,,,"
Total net derivative assets/liabilities,$,31.1,"$,28.9,$,25.9,$,22.1,$"
