,Unrealized Gains,Realized/ (Losses) in,,,,,,Gross,Gross,,Gains (Losses) in Net Income Related to
,Balance January 1,Net Income (2),Gains (Losses) in ocl(,Purchases,Gross Sales,Issuances Settlements,,Transfers into,Transfers out of,Balance,Financial Instruments
"(Dollars in millions) Year Ended December 31,2018",,,,,,,,Level 3,Level 3,December 31,Still Held(2)
Trading account assets:,,,,,,,,,,,
"Corporate securities,trading loans and other","$1,864$",(32)$,(1)$,,436$(403) $,5$,(568）$,804$,(547)$,"1,558",(117)
Equity securities,235,(17),一,44,(11),,(4),78,(49),276,(22)
Non-U.S.sovereign debt,556,47,(44),13,(57),,(30),117,(137),465,48
"Mortgage trading loans,ABS and other MBS","1,498",148,3,585,(910),,(158),705,(236),"1,635",97
Total trading account assets,"4,153",146,(42),"1,078","(1,381)",5,(760),"1,704",(969),"3,934",6
Net derivative assets (liablities)(4),"(1,714)",106,1,531,"(1,179)",,778,39,504,(935),(116)
AFS debt securities:,,,,,,,,,,,
Non-agency residential MBS,一,27,(33),,(71),,(25),774,(75),597,
Non-U.S.securities,25,,(1),,(10),,(15),3,,2,
Other taxable securities,509,1,(3),,(23),,(11),60,(526),7,
Tax-exempt securities,469,,,,,,(1),1,(469),,
Total AFS debt securities (5),"1,003",28,(37),,(104),,(52),838,(1.070),606,
Other debt securities carried at fair value - Non-,,,,,,,,,,,
agency residential MBS,一,(18),一,,(8),,(34),365,(133),172,(18)
Loans and leases (6.7),571,(16),一,,(134),,(83),一,一,338,(9)
Loans held-for-sale (6),690,44,(26),71,,1,(201),23,(60),542,31
"Other assets (57,8)","2,425",414,(38),2,(69),96,(792),929,(35),"2,932",149
Trading account liabilities-Corporate securities and other,(24),11,,9,(12),(2),,,,(18),(7)
Accrued expensesandother liabilites (6),(8),一,一,一,,丨,8,一,,一,1
Long-term debt (6),"(1,863)",103,4,9,,(141),486,(262),847,(817),95
