Amount,Percent,Amount,Percent,Amount,Percent
(Dollars in millions),,,(2020),,(2019)
Expected U.S. federal income tax expense,"3,989",21.0 %,"6,878",21.0 %,"7,263"
Increase (decrease) in taxes resulting from:,,,,,
"State tax expense, net of federal benefit",728,3.8,"1,283",3.9,"1,367"
Affordable housing/energy/other credits,"(2,869)",-15.1,"(2,365)",-7.2,"(1,888)"
Tax law changes,(699),-3.7,1,-,1
"Tax-exempt income, including dividends",(346),-1.8,(433),-1.3,(413)
Share-based compensation,(129),-0.7,(225),-0.7,(257)
"Changes in prior-period UTBs, including interest",(41),-0.2,(613),-1.9,144
Nondeductible expenses,324,1.7,290,0.9,302
Rate differential on non-U.S. earnings,218,1.1,504,1.5,98
Other,(74),-0.3,5,0.1,(179)
Total income tax expense (benefit),"$ 1,101",5.8 %$,"5,324",16.3 %$,"6,437"
