,Commercial Utilized (1),Commercial Utilized (1),"Commercial Unfunded (2,3,4)","Commercial Unfunded (2,3,4)",Total Commercial Committed,Total Commercial Committed
,,,December 31,,,
(Dollars in millions),2020,2019,2020,2019,2020,2019
Loans and leases,"$ 499,065","$ 517,657","404,740","405,834","903,805","$ 923,491"
Derivative assets (5),"47,179","40,485",1,,"47,179","40,485"
Standby letters of credit and financial guarantees,"34,616","36,062",538,468,"35,154","36,530"
Debt securities and other investments,"22,618","25,546","4,827","5,101","27,445","30,647"
Loans held-for-sale,"8,378","7,047","9,556","15,135","17,934","22,182"
Operating leases,"6,424","6,660",1,,"6,424","6,660"
Commercial letters of credit,855,"1,049",280,451,"1,135","1,500"
Other Total,"1,168 $ 620,303","800 635,306","419,941","426,989","1,168 1,040,244","800 $ 1,062,295"
