30-59 Days Past Due (1),60-89 Days Past Due (1),90 Days or More Past Due (1),Total Past Due 30 Days or More,Total Current or Less Than 30 Days Past Due (1),Loans Accounted for Under the Fair Value Option,Total Outstandings
"$1,157",$175,$786,"$2,118","$213,155","$215,273","$30,328"
$126,$61,$269,$456,"$29,872",,
$273,$122,$913,"$1,308","$6,974","$8,282",
$28,$17,$76,$121,"$3,862","$3,983",
$445,$341,$903,"$1,689","$77,019","$78,708",
$209,$67,$37,$313,"$91,050","$91,363",
,,,,$124,$124,
"$2,238",$783,"$2,984","$6,005","$422,056","$428,061",
,,,,,$735,$735
"$2,238",$783,"$2,984","$6,005","$422,056",$735,"$428,796"
$561,$214,$512,"$1,287","$287,441","$288,728",
$61,$44,$11,$116,"$90,344","$90,460",
$128,$113,$226,$467,"$59,897","$60,364",
$86,$20,$57,$163,"$17,098","$17,098",
$84,$56,$123,$263,"$36,206","$36,469",
$920,$447,$929,"$2,296","$490,823","$493,119",
,,,,,"$5,946","$5,946"
$920,$447,$929,"$2,296","$490,823","$5,946","$499,065"
"$3,158","$1,230","$3,913","$8,301","$912,879","$6,681","$927,861"
,,,,,,$100.00 %
