(Dollars in millions),Qualified Pension Plan,Qualified Pension Plan,Non-U.s. Pension Plans,Non-U.s. Pension Plans,Nonqualified and Other Pension Plans,Nonqualified and Other Pension Plans,,,Postretirement Health and Life Plans,Postretirement Health and Life Plans
"Fair value, January 1","$20,275","$18,178",,,,,,,,
Actual return on plan assets,"2,468","3,187",,,,,,,,
Company contributions,,,,,20,86,,91,6,24
Plan participant contributions,,-,,,1,1,,110,103,
Settlements and curtailments,,,,1 (61),(42),1,,一,1,1
Benefits paid,(967),"(1,090)",,(57),(108),(248),,(237),(174),(185)
Federal subsidy on benefits paid,,n/a,,n/a,n/a,n/a,,1,1,
Foreign currency exchange rate changes,,n/a,,97,91,n/a,,n/a,n/a,n/a
"Fair value, December 31","$21,776","$20,275",,,,,,,,
"Projected benefit obligation, January 1","$15,361","$14,144",,,,,,,,
Service cost,,,20,,,,,,,
Interest cost,500,593,,65,90,,,113,32,38
Plan participant contributions,,,,49,1,,,110,103,
Plan amendments,,,,1 3,2,,,一,1,
Settlements and curtailments,1,,(61),(42),1,,,1,1,
Actuarial loss,"1,533","1,714",,396,288,243,,263,43,99
Benefits paid,(967),"(1,090)",,(57),(108),(248),,(237),(173),(185)
Federal subsidy on benefits paid,n/a,n/a,,n/a,n/a,n/a,,1,1,
Foreign currency exchange rate changes,n/a,n/a,,102,75,n/a,,n/a,,1
"Projected benefit obligation, December 31","$16,427","$15,361",,,,,,,,
Other assets,"$5,349","$4,914",,,,,,,,
"Accrued expenses and other liabilities Net amount recognized, December 1",,,(690),(555),(,"1,028",),(986),,(864)
"Funded status, December 31","$5,349","$4,914",,(262),(,191,),(,216,)
Accumulated benefit obligation,,,,,,,,,,
Overfunded (unfunded) status of ABO,"$16,427","$15,361",,,,,,,,
Provision for future salaries,"5,349",4.914,,(175),(145),(216),,(253),,
Projected benefit obligation,1,1,,87,46,1,,1,,
"Weighted-average assumptions, December 31","16,427","15,361",,"3,340","2,887","3,005","2,919",$,"1,007 $",989
Discount rate,2.57%,3.32%,,1.37 %,1.81%,2.33 %,,3.20%,,
Rate of compensation increase,,,,,n/a,4.11,4.10,4.00,,2.48 %
Interest-crediting rate,5.02%,5.06%,,1.58,1.53,4.49,,4.52,n/a n/a,n/a n/a
