,Gross Assets/ Liabilitis(1),Gross Assets/ Liabilitis(1),Amounts Offset,Amounts Offset,Net Balance Sheet Amount,Net Balance Sheet Amount,Financial Net Assets/ Instruments (2),Financial Net Assets/ Instruments (2),
(Dollars in millions),,,,"December 31,2020",,,Liabilities,,
Securities borrowedorpurchasedunderagreementstoesel(3),"492,387",$,"(188,329)","304,058",$,"(272,351)",$,"31,707",
Securities loaned or sold under agreements to repurchase,$,"358,652",$,"$ (188,329) $","170,323",$,"(158,867)","11,456",
Other (4),,"16,210",,,"16,210",,"(16,210)",一,
Total,$,"374,862",,"(188,329)$","186,533",$,"(175,077)$","11,456",
,,,,"December 31,2019",,,,,
Securities borrowedorpurchasedunderagrementstoesel(3),"434,257",$,,,"274,597",$,"(244,486)$",,"30,111"
Securities loaned or sold under agreements to repurchase,$,,,"(159,660)$ $","165,109",$,"(141,482)$",,"23,627"
Other (4),$,"324,769",$,"(159,660)","15,346",,"(15,346)",,
Total,$,"15,346 340,115",$,"(159,660)","180,455",$,"(156,828)",$,"23,627"
